z,old_mean,new_mean,old_std,new_std,old_valid_count,new_valid_count,spatial_overlap_count_oldgrid,spatial_corr_old_vs_newResampled,spatial_rmse,spatial_bias_new_minus_old
1,15.953943252563477,16.511184692382812,0.23273752629756927,0.5760931968688965,6925,7898,6098,0.2976250766102577,0.7465491890907288,0.49272191524505615
2,15.972627639770508,16.4830379486084,0.19350378215312958,0.5556822419166565,6925,7898,6098,0.4856364889843254,0.6813530325889587,0.4526764452457428
3,15.978999137878418,16.452861785888672,0.20565292239189148,0.5537936687469482,6925,7898,6098,0.5677690137182464,0.6416148543357849,0.41051986813545227
4,15.890206336975098,16.364391326904297,0.20520731806755066,0.5502099990844727,6925,7898,6098,0.6535583449224449,0.6265914440155029,0.4133852422237396
5,15.686123847961426,16.269132614135742,0.2870900332927704,0.6116839051246643,6925,7898,6098,0.5827472994353047,0.7320575714111328,0.5215629935264587
6,15.533868789672852,16.21530532836914,0.3715968132019043,0.682424008846283,6925,7898,6098,0.4900410527465121,0.8566653728485107,0.6071799993515015
7,15.492725372314453,16.196002960205078,0.34120261669158936,0.6718237400054932,6925,7898,6098,0.5032548447689039,0.8669766783714294,0.6354895830154419
8,15.515904426574707,16.19368553161621,0.27943888306617737,0.638695240020752,6925,7898,6098,0.45809271897317555,0.8517307043075562,0.6248591542243958
9,15.536433219909668,16.17749786376953,0.2517634928226471,0.6349304914474487,6925,7898,6098,0.5039728564776635,0.8148317337036133,0.5826654434204102
10,15.530369758605957,16.127592086791992,0.28337791562080383,0.6410085558891296,6925,7898,6098,0.6292209572996125,0.753926157951355,0.5353509187698364
11,15.600606918334961,16.09014892578125,0.28543809056282043,0.617438554763794,6925,7898,6098,0.6779822204942563,0.6575244665145874,0.44787898659706116
12,15.77361011505127,16.133827209472656,0.19214212894439697,0.5689271092414856,6925,7898,6098,0.47544469449470717,0.6167816519737244,0.33644789457321167
13,15.899148941040039,16.179805755615234,0.286550372838974,0.5510407090187073,6925,7898,6098,0.34640768016182816,0.5833499431610107,0.23126886785030365
14,16.015789031982422,16.21475601196289,0.3558337390422821,0.5399089455604553,6925,7898,6098,0.4182699937929644,0.5262393355369568,0.12597639858722687
15,16.112003326416016,16.2232608795166,0.3107532560825348,0.5398250818252563,6925,7898,6098,0.3636953449271354,0.5173503160476685,0.03381315618753433
16,16.167949676513672,16.185832977294922,0.268352746963501,0.518447995185852,6925,7898,6098,0.3746512663470496,0.49206241965293884,-0.057307496666908264
17,16.227527618408203,16.142290115356445,0.2690616846084595,0.4988451898097992,6925,7898,6098,0.4873576175580632,0.4740665853023529,-0.16330686211585999
