step,matched_temp_day_1based,global_x0,global_y0,local_best_x0,local_best_y0,delta_x0,delta_y0,local_best_corr
1,202,28,34,27,36,-1,2,0.9861232099006257
2,202,28,34,24,33,-4,-1,0.9871259566861291
3,202,28,34,24,34,-4,0,0.9853949704518573
4,202,28,34,24,33,-4,-1,0.9865251558957601
5,202,28,34,24,36,-4,2,0.9839060361440061
6,202,28,34,24,35,-4,1,0.9842489073947412
7,202,28,34,24,35,-4,1,0.9833089813797956
8,202,28,34,24,33,-4,-1,0.9828666005955935
9,202,28,34,25,35,-3,1,0.9817066653241098
10,202,28,34,28,36,0,2,0.9813652677060063
11,202,28,34,32,38,4,4,0.9853915712377348
12,202,28,34,32,36,4,2,0.9856625337924283
13,202,28,34,32,38,4,4,0.9830753317885985
14,85,28,34,32,35,4,1,0.982785145628871
15,200,28,34,25,35,-3,1,0.9838028846429073
16,136,28,34,25,30,-3,-4,0.982120440717635
17,168,28,34,24,30,-4,-4,0.9703864033724768
