stage,x0,y0,w,h,x1,y1,scale_x_idx_per_outpix,scale_y_idx_per_outpix,iou,dice,hamming,intersection,union,target_sum,pred_sum
stage3,49,55,128,66,176,120,1.1441441441441442,1.0317460317460319,1.0,1.0,0.0,6925,6925,6925,6925
stage3,49,55,128,67,176,121,1.1441441441441442,1.0476190476190477,1.0,1.0,0.0,6925,6925,6925,6925
stage3,49,54,128,70,176,123,1.1441441441441442,1.0952380952380953,1.0,1.0,0.0,6925,6925,6925,6925
stage3,49,54,128,71,176,124,1.1441441441441442,1.1111111111111112,1.0,1.0,0.0,6925,6925,6925,6925
stage3,49,54,128,72,176,125,1.1441441441441442,1.126984126984127,1.0,1.0,0.0,6925,6925,6925,6925
stage3,48,55,129,66,176,120,1.1531531531531531,1.0317460317460319,1.0,1.0,0.0,6925,6925,6925,6925
stage3,48,55,129,67,176,121,1.1531531531531531,1.0476190476190477,1.0,1.0,0.0,6925,6925,6925,6925
stage3,48,54,129,70,176,123,1.1531531531531531,1.0952380952380953,1.0,1.0,0.0,6925,6925,6925,6925
stage3,48,54,129,71,176,124,1.1531531531531531,1.1111111111111112,1.0,1.0,0.0,6925,6925,6925,6925
stage3,48,54,129,72,176,125,1.1531531531531531,1.126984126984127,1.0,1.0,0.0,6925,6925,6925,6925
stage3,47,55,130,66,176,120,1.162162162162162,1.0317460317460319,1.0,1.0,0.0,6925,6925,6925,6925
stage3,47,55,130,67,176,121,1.162162162162162,1.0476190476190477,1.0,1.0,0.0,6925,6925,6925,6925
stage3,47,54,130,70,176,123,1.162162162162162,1.0952380952380953,1.0,1.0,0.0,6925,6925,6925,6925
stage3,47,54,130,71,176,124,1.162162162162162,1.1111111111111112,1.0,1.0,0.0,6925,6925,6925,6925
stage3,47,54,130,72,176,125,1.162162162162162,1.126984126984127,1.0,1.0,0.0,6925,6925,6925,6925
stage3,46,55,131,66,176,120,1.1711711711711712,1.0317460317460319,1.0,1.0,0.0,6925,6925,6925,6925
stage3,46,55,131,67,176,121,1.1711711711711712,1.0476190476190477,1.0,1.0,0.0,6925,6925,6925,6925
stage3,46,54,131,70,176,123,1.1711711711711712,1.0952380952380953,1.0,1.0,0.0,6925,6925,6925,6925
stage3,46,54,131,71,176,124,1.1711711711711712,1.1111111111111112,1.0,1.0,0.0,6925,6925,6925,6925
stage3,46,54,131,72,176,125,1.1711711711711712,1.126984126984127,1.0,1.0,0.0,6925,6925,6925,6925
stage3,45,55,132,66,176,120,1.1801801801801801,1.0317460317460319,1.0,1.0,0.0,6925,6925,6925,6925
stage3,45,55,132,67,176,121,1.1801801801801801,1.0476190476190477,1.0,1.0,0.0,6925,6925,6925,6925
stage3,45,54,132,70,176,123,1.1801801801801801,1.0952380952380953,1.0,1.0,0.0,6925,6925,6925,6925
stage3,45,54,132,71,176,124,1.1801801801801801,1.1111111111111112,1.0,1.0,0.0,6925,6925,6925,6925
stage3,49,54,128,73,176,126,1.1441441441441442,1.1428571428571428,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,48,54,129,73,176,126,1.1531531531531531,1.1428571428571428,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,47,54,130,73,176,126,1.162162162162162,1.1428571428571428,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,46,54,131,73,176,126,1.1711711711711712,1.1428571428571428,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,45,54,132,72,176,125,1.1801801801801801,1.126984126984127,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,45,54,132,73,176,126,1.1801801801801801,1.1428571428571428,0.9998556165174703,0.9999278030467115,0.00013950892857142856,6925,6926,6925,6926
stage3,44,54,133,70,176,123,1.1891891891891893,1.0952380952380953,0.998846098370114,0.9994227161206524,0.0011160714285714285,6925,6933,6925,6933
stage3,50,55,127,66,176,120,1.135135135135135,1.0317460317460319,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,50,55,127,67,176,121,1.135135135135135,1.0476190476190477,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,50,54,127,73,176,126,1.135135135135135,1.1428571428571428,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,49,54,128,69,176,122,1.1441441441441442,1.0793650793650793,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,48,54,129,69,176,122,1.1531531531531531,1.0793650793650793,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,47,54,130,69,176,122,1.162162162162162,1.0793650793650793,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,46,54,131,69,176,122,1.1711711711711712,1.0793650793650793,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,45,54,132,68,176,121,1.1801801801801801,1.0634920634920635,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,45,54,132,69,176,122,1.1801801801801801,1.0793650793650793,0.9988447653429603,0.9994220488368732,0.0011160714285714285,6917,6925,6925,6917
stage3,49,55,127,66,175,120,1.135135135135135,1.0317460317460319,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,54,127,70,175,123,1.135135135135135,1.0952380952380953,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,54,127,71,175,124,1.135135135135135,1.1111111111111112,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,54,127,72,175,125,1.135135135135135,1.126984126984127,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,54,127,73,175,126,1.135135135135135,1.1428571428571428,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,55,128,68,176,122,1.1441441441441442,1.0634920634920635,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,49,55,128,69,176,123,1.1441441441441442,1.0793650793650793,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,48,54,128,70,175,123,1.1441441441441442,1.0952380952380953,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,48,54,128,71,175,124,1.1441441441441442,1.1111111111111112,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
stage3,48,54,128,72,175,125,1.1441441441441442,1.126984126984127,0.9987020478800115,0.9993506024965726,0.0012555803571428572,6925,6934,6925,6934
