method_family,method_name,interpolation,domain_tested,mask_mode,rmse,mae,mean_bias,max_abs_error,pearson,spearman,nrmse,ssim,ncc,contour_score,gradient_corr,exact_match_possible,valid_cells_used,valid_fraction,notes,composite_score,rank
B_linear_registration,affine_rmse_optimization,lanczos,full,nomask,0.04553305423311378,0.038274505267879955,0.03291177864384858,0.11293608703613245,0.04007751051672519,0.021449014032862406,0.32020431950149764,0.9963230653280193,0.0400775105167252,0.3362125153690752,0.1939814413055835,False,123,0.0028472222222222223,affine optimize,0.46743627581230474,1
B_linear_registration,affine_rmse_optimization,lanczos,full,masked,0.04553305423311378,0.038274505267879955,0.03291177864384858,0.11293608703613245,0.04007751051672519,0.021449014032862406,0.32020431950149764,0.9963230653280193,0.0400775105167252,0.3362125153690752,0.1939814413055835,False,123,0.0028472222222222223,affine optimize,0.46743627581230474,2
C_nonrigid_registration,dense_optical_flow_tvl1,linear,full,nomask,0.717152071869338,0.6826589953771739,0.6813429935923601,1.4802217597162581,0.6994852269587861,0.7063085046741299,0.5346494739399402,0.7416113467796756,0.6994852269587861,0.13121024855462418,0.07328307837645846,False,40388,0.9349074074074074,dense flow,0.46986095318336224,3
B_linear_registration,affine_rmse_optimization,nearest,full,nomask,0.05263126046132925,0.044551714565135916,0.03873931790104626,0.14315827331542863,0.029070963214080325,0.033850001108013845,0.30475541668400974,0.9942067581019407,0.02907096321408038,0.28751081699685416,0.08111020782026615,False,216,0.005,affine optimize,0.47107504855532767,4
B_linear_registration,affine_rmse_optimization,nearest,full,masked,0.05263126046132925,0.044551714565135916,0.03873931790104626,0.14315827331542863,0.029070963214080325,0.033850001108013845,0.30475541668400974,0.9942067581019407,0.02907096321408038,0.28751081699685416,0.08111020782026615,False,216,0.005,affine optimize,0.47107504855532767,5
C_nonrigid_registration,piecewise_affine_from_flow,nearest,full,nomask,0.7859609091824921,0.7719284624872323,0.7718593320002026,1.2210917205810539,0.9155938925679139,0.9341817129440723,0.6284921907820493,0.845357548930435,0.9155938925679152,0.14281222595738147,0.0715115331371232,False,29909,0.692337962962963,piecewise affine,0.48665860011981316,6
C_nonrigid_registration,dense_optical_flow_ilk,linear,full,nomask,0.7821288073572854,0.7679068399192349,0.7678408725659835,1.2016007695310051,0.9088832705215776,0.9309789016695039,0.5799991155782608,0.8101750652475562,0.9088832705215771,0.11038267136602065,0.06099767355571891,False,23968,0.5548148148148148,dense flow,0.4879367185885219,7
B_linear_registration,affine_rmse_optimization,linear,full,nomask,0.05129036876223541,0.04335341949462901,0.037791527252197345,0.1415217681884755,0.009331886388719636,-0.07336033845590433,0.33037274565046465,0.9944081151738262,0.009331886388719669,0.24518427260795997,0.0827395803700116,False,200,0.004629629629629629,affine optimize,0.49031837456699934,8
B_linear_registration,affine_rmse_optimization,linear,full,masked,0.05129036876223541,0.04335341949462901,0.037791527252197345,0.1415217681884755,0.009331886388719636,-0.07336033845590433,0.33037274565046465,0.9944081151738262,0.009331886388719669,0.24518427260795997,0.0827395803700116,False,200,0.004629629629629629,affine optimize,0.49031837456699934,9
C_nonrigid_registration,bspline_like_smooth_flow_tvl1,linear,full,nomask,0.7341849708465823,0.6920460837423327,0.690731314695528,1.4741929547457282,0.5934117448711188,0.6406140829718177,0.5473477994905007,0.7538146433998769,0.5934117448711186,0.10303470507059456,0.07805441697664134,False,40455,0.9364583333333333,smooth-flow deformation,0.4936250755929293,10
C_nonrigid_registration,bspline_like_smooth_flow_ilk,linear,full,nomask,0.7980227926820298,0.7855799221757432,0.7855799221757432,1.2109163402683372,0.9087478675683651,0.9458231267878388,0.5960731944144236,0.8858667573160939,0.9087478675683648,0.12032964418565788,0.05246206992533913,False,21787,0.5043287037037038,smooth-flow deformation,0.49480411137250585,11
B_linear_registration,affine_rmse_optimization,bicubic,full,nomask,0.05029323919544339,0.04256164507697618,0.03731084630629601,0.14218934020995988,-0.042962355002980485,-0.09523840524077506,0.3239500109207255,0.9950347526584912,-0.042962355002980505,0.17304528403177136,0.14555098459457305,False,170,0.003935185185185185,affine optimize,0.49631834234069816,12
B_linear_registration,affine_rmse_optimization,bicubic,full,masked,0.05029323919544339,0.04256164507697618,0.03731084630629601,0.14218934020995988,-0.042962355002980485,-0.09523840524077506,0.3239500109207255,0.9950347526584912,-0.042962355002980505,0.17304528403177136,0.14555098459457305,False,170,0.003935185185185185,affine optimize,0.49631834234069816,13
C_nonrigid_registration,piecewise_affine_from_flow,linear,full,nomask,0.7975006000683715,0.7846617048066509,0.7845900801608121,1.2195866440307341,0.9102935654288773,0.9372025530850517,0.6413354242608532,0.8642359898034218,0.9102935654288774,0.14018159312746495,0.07906925762609708,False,25863,0.5986805555555555,piecewise affine,0.5008995891524761,14
C_nonrigid_registration,dense_optical_flow_ilk,linear,full,masked,0.728630438479126,0.7121123494278121,0.7120098732127155,1.2016007695310051,0.8459150985450039,0.8514055342767909,0.5403266136293106,0.8241897112540579,0.8459150985450039,0.08109005803077651,-0.05303028026191933,False,15429,0.35715277777777776,dense flow,0.5059845803263021,15
C_nonrigid_registration,piecewise_affine_from_flow,nearest,full,masked,0.7294689067199033,0.7123177467087131,0.7122048728285639,1.2210917205810539,0.8420602874842412,0.8466988480872661,0.5833184652512119,0.8551249440859193,0.8420602874842414,0.13636393466394942,-0.016824452766010637,False,18318,0.4240277777777778,piecewise affine,0.5096769523217037,16
C_nonrigid_registration,bspline_like_smooth_flow_ilk,linear,full,masked,0.7438834777105913,0.7281745684985532,0.7281745684985532,1.2109163402683372,0.850579346258756,0.8932106019484495,0.5556345068050431,0.9022845991472167,0.8505793462587562,0.106007264198433,-0.04837224247712347,False,12976,0.30037037037037034,smooth-flow deformation,0.5097006210965657,17
C_nonrigid_registration,piecewise_affine_from_flow,linear,full,masked,0.7441407583180661,0.7270414668482413,0.7269177737248889,1.2195866440307341,0.840298527142716,0.8684622901975513,0.5984244136051995,0.8772657779950067,0.8402985271427166,0.12748373640566588,-0.014699484486929485,False,14976,0.3466666666666667,piecewise affine,0.5221353841859379,18
C_nonrigid_registration,dense_optical_flow_tvl1,linear,full,masked,0.658624364167565,0.6184572913646599,0.6166181674862841,1.428123109530393,0.46031763323477976,0.3492473191372622,0.49101603919004416,0.7425327161348938,0.46031763323478003,0.1498562682296824,-0.0011031936813381074,False,28900,0.6689814814814815,dense flow,0.5289327134455136,19
