distance_rank_asc,global_image_idx_0_based,global_image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,104,105,0.06681431829929352,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png
2,14,15,0.07387392222881317,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png
3,17,18,0.0878596156835556,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png
4,13,14,0.08858640491962433,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png
5,107,108,0.09494102001190186,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z108.png
6,15,16,0.10575929284095764,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png
7,22,23,0.1190778911113739,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png
8,23,24,0.1201358288526535,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png
9,35,36,0.1218721941113472,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png
10,2,3,0.12345240265130997,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
11,1,2,0.1263706088066101,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
12,137,138,0.12866835296154022,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z138.png
13,34,35,0.12892714142799377,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png
14,126,127,0.13116435706615448,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z127.png
15,0,1,0.13282060623168945,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png
16,21,22,0.1338096261024475,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z022.png
17,138,139,0.1358925998210907,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z139.png
18,40,41,0.13805027306079865,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
19,33,34,0.14110663533210754,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z034.png
20,136,137,0.14356829226016998,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z137.png
21,151,152,0.14724044501781464,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z152.png
22,16,17,0.15369080007076263,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png
23,112,113,0.15406616032123566,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png
24,109,110,0.15647666156291962,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png
25,18,19,0.15714415907859802,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z019.png
26,12,13,0.15815433859825134,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png
27,41,42,0.16255252063274384,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
28,108,109,0.1638275682926178,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z109.png
29,3,4,0.16431070864200592,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png
30,139,140,0.16759754717350006,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z140.png
31,253,254,0.1704605370759964,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z254.png
32,24,25,0.17349472641944885,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png
33,42,43,0.17484039068222046,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
34,39,40,0.17915238440036774,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
35,47,48,0.17916743457317352,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
36,150,151,0.1824466735124588,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z151.png
37,43,44,0.18547643721103668,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
38,135,136,0.1860406994819641,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z136.png
39,32,33,0.18938863277435303,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z033.png
