image_idx_0_based,image_z_1_based,png_path
142,143,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png
146,147,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
147,148,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
148,149,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
149,150,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
157,158,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
158,159,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
182,183,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
189,190,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z190.png
192,193,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z193.png
193,194,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z194.png
194,195,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z195.png
198,199,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z199.png
199,200,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z200.png
201,202,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z202.png
202,203,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z203.png
203,204,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z204.png
213,214,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z214.png
214,215,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z215.png
215,216,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png
216,217,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png
217,218,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png
218,219,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png
219,220,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z220.png
221,222,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z222.png
226,227,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z227.png
227,228,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z228.png
228,229,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z229.png
241,242,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png
242,243,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png
243,244,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png
244,245,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png
246,247,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z247.png
247,248,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
248,249,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
254,255,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z255.png
255,256,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z256.png
256,257,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
257,258,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
261,262,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png
