distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,178,179,0.10202856361865997,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
2,179,180,0.12163429707288742,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png
3,157,158,0.13722243905067444,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
4,161,162,0.15267615020275116,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
5,168,169,0.17601919174194336,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
6,244,245,0.17847248911857605,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png
7,261,262,0.18684399127960205,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png
8,169,170,0.1892823427915573,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
9,180,181,0.1894739270210266,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
10,158,159,0.19366207718849182,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
11,182,183,0.20896342396736145,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
12,243,244,0.21130673587322235,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png
13,153,154,0.2144910991191864,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
14,156,157,0.2256431132555008,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
15,241,242,0.22876659035682678,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png
16,170,171,0.22894887626171112,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
17,129,130,0.23106330633163452,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png
18,206,207,0.23288345336914062,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
19,177,178,0.23648889362812042,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
20,242,243,0.240084707736969,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png
21,207,208,0.2419040948152542,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
22,240,241,0.25617435574531555,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z241.png
23,235,236,0.2618078291416168,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z236.png
24,181,182,0.2636159360408783,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z182.png
25,185,186,0.2955482602119446,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
26,239,240,0.3293605148792267,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png
27,184,185,0.3334685266017914,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
28,130,131,0.33416876196861267,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
29,183,184,0.33559849858283997,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
30,220,221,0.3448394238948822,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z221.png
31,154,155,0.3462713956832886,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
32,159,160,0.3522912263870239,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z160.png
33,260,261,0.3542505204677582,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z261.png
34,155,156,0.37314340472221375,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
35,234,235,0.3800039291381836,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z235.png
36,167,168,0.380106121301651,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png
37,265,266,0.408602774143219,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z266.png
38,262,263,0.41368210315704346,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z263.png
39,176,177,0.424803227186203,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z177.png
40,270,271,0.4353518486022949,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z271.png
41,299,300,0.4403438866138458,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z300.png
42,264,265,0.44725894927978516,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z265.png
43,263,264,0.4563331604003906,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z264.png
44,266,267,0.4572024941444397,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z267.png
45,271,272,0.46213921904563904,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z272.png
46,128,129,0.46314874291419983,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png
47,160,161,0.4646185338497162,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z161.png
48,278,279,0.497709184885025,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z279.png
49,280,281,0.5003969073295593,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z281.png
