distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,58,59,0.06270188093185425,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z059.png
2,59,60,0.06740282475948334,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z060.png
3,118,119,0.07117833942174911,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z119.png
4,57,58,0.08230802416801453,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z058.png
5,73,74,0.08845444768667221,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z074.png
6,81,82,0.0896422415971756,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z082.png
7,82,83,0.09310536831617355,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z083.png
8,74,75,0.09439200907945633,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z075.png
9,80,81,0.10119015723466873,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z081.png
10,78,79,0.10482732206583023,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z079.png
11,92,93,0.10575607419013977,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z093.png
12,60,61,0.10691411048173904,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z061.png
13,119,120,0.11799395084381104,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z120.png
14,98,99,0.1205858513712883,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z099.png
15,99,100,0.12079088389873505,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z100.png
16,117,118,0.14308948814868927,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z118.png
17,120,121,0.14466024935245514,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z121.png
18,79,80,0.14759068191051483,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z080.png
19,91,92,0.14811690151691437,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z092.png
20,93,94,0.15659859776496887,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z094.png
21,77,78,0.16639344394207,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z078.png
22,94,95,0.1681954562664032,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z095.png
23,95,96,0.16872212290763855,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z096.png
24,63,64,0.1697910577058792,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z064.png
25,61,62,0.17881295084953308,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z062.png
26,83,84,0.1805693656206131,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z084.png
27,56,57,0.18120689690113068,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z057.png
28,75,76,0.1898125857114792,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z076.png
29,116,117,0.19433672726154327,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z117.png
30,97,98,0.20005446672439575,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z098.png
31,70,71,0.2034149467945099,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z071.png
32,115,116,0.2090200036764145,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z116.png
33,62,63,0.21244454383850098,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z063.png
34,121,122,0.219853475689888,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z122.png
35,65,66,0.22115889191627502,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z066.png
36,66,67,0.22875858843326569,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z067.png
37,64,65,0.2291291505098343,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z065.png
38,72,73,0.2444971799850464,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z073.png
39,90,91,0.24575243890285492,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z091.png
40,100,101,0.26119306683540344,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png
41,76,77,0.27193838357925415,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z077.png
42,67,68,0.2720339894294739,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z068.png
43,71,72,0.27499979734420776,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z072.png
44,69,70,0.27823251485824585,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z070.png
45,89,90,0.2978720963001251,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z090.png
46,114,115,0.30847403407096863,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png
47,84,85,0.3136555850505829,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z085.png
48,68,69,0.3294920027256012,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z069.png
49,88,89,0.33147451281547546,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z089.png
50,87,88,0.3501680791378021,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z088.png
51,122,123,0.3815006911754608,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z123.png
52,85,86,0.3816969096660614,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z086.png
53,86,87,0.3866228759288788,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z087.png
54,6,7,0.39368513226509094,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z007.png
55,7,8,0.39465200901031494,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z008.png
56,8,9,0.401054322719574,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z009.png
57,9,10,0.4028922915458679,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png
58,10,11,0.455903023481369,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png
