distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,178,179,0.10644600540399551,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
2,161,162,0.12448832392692566,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
3,179,180,0.1312946230173111,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png
4,157,158,0.14276137948036194,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
5,153,154,0.15112069249153137,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
6,261,262,0.16260576248168945,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png
7,158,159,0.17715542018413544,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
8,244,245,0.17788416147232056,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png
9,241,242,0.17891551554203033,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png
10,156,157,0.18083031475543976,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
11,243,244,0.19248086214065552,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png
12,168,169,0.195588618516922,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
13,242,243,0.19775690138339996,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png
14,129,130,0.1994353085756302,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png
15,169,170,0.2031097114086151,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
16,180,181,0.20680153369903564,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
17,240,241,0.23194079101085663,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z241.png
18,170,171,0.23642127215862274,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
19,182,183,0.25055384635925293,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
20,177,178,0.255918949842453,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
21,206,207,0.2730201482772827,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
22,207,208,0.29564303159713745,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
23,154,155,0.3130504786968231,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
24,130,131,0.31686869263648987,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
25,239,240,0.34006476402282715,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png
26,155,156,0.3475682735443115,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
27,260,261,0.34933075308799744,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z261.png
28,167,168,0.39075005054473877,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png
29,128,129,0.4475904405117035,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png
30,280,281,0.48428836464881897,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z281.png
31,279,280,0.4944382905960083,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z280.png
32,152,153,0.5334180593490601,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z153.png
33,281,282,0.5434930920600891,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z282.png
34,205,206,0.5519643425941467,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z206.png
