seed,run_dir,global_number_of_classes_at_sd30,global_class_id,global_class_size,local_k,local_n_subclasses,subclass_sizes,subclass_min_size,subclass_max_size,subclass_size_ratio_max_over_min,baseline_class02_mean_distance,baseline_class02_q90_distance,baseline_class02_max_distance,local_weighted_mean_distance,local_mean_minus_baseline_mean,min_pairwise_subclass_prototype_rmse_norm,mean_pairwise_subclass_prototype_rmse_norm,silhouette_score,output_dir
11,w72_h40_xds04_seed11_scalerON_final_sd30_20260325,5,2,117,2,2,"[76, 41]",41,76,1.853658536585366,0.29555679590274125,0.4816881418228149,1.0075671672821045,0.24441046178595632,-0.05114633411678493,0.41998276114463806,0.41998276114463806,0.33008022392513015,results/fossum/class02_local_refinement_sd30_20260326/seed_11/k2
11,w72_h40_xds04_seed11_scalerON_final_sd30_20260325,5,2,117,3,3,"[76, 33, 8]",8,76,9.5,0.29555679590274125,0.4816881418228149,1.0075671672821045,0.2088754865157808,-0.08668130938696045,0.2968226671218872,0.6483882069587708,0.29486970766928977,results/fossum/class02_local_refinement_sd30_20260326/seed_11/k3
23,w72_h40_xds04_seed23_scalerON_final_sd30_20260325,5,2,125,2,2,"[48, 77]",48,77,1.6041666666666667,0.2748871622681618,0.4964921474456787,0.75240558385849,0.21910273212194442,-0.05578443014621737,0.40295571088790894,0.40295571088790894,0.19136956833049695,results/fossum/class02_local_refinement_sd30_20260326/seed_23/k2
23,w72_h40_xds04_seed23_scalerON_final_sd30_20260325,5,2,125,3,3,"[48, 29, 48]",29,48,1.6551724137931034,0.2748871622681618,0.4964921474456787,0.75240558385849,0.1951788986325264,-0.07970826363563538,0.2712959349155426,0.3819470703601837,0.21437387370602082,results/fossum/class02_local_refinement_sd30_20260326/seed_23/k3
37,w72_h40_xds04_seed37_scalerON_final_sd30_20260325,6,2,154,2,2,"[14, 140]",14,140,10.0,0.3616396951936669,0.6563546657562256,1.100515365600586,0.31270313988645354,-0.04893655530721336,0.7056556940078735,0.7056556940078735,0.45760015551216116,results/fossum/class02_local_refinement_sd30_20260326/seed_37/k2
37,w72_h40_xds04_seed37_scalerON_final_sd30_20260325,6,2,154,3,3,"[14, 25, 115]",14,115,8.214285714285714,0.3616396951936669,0.6563546657562256,1.100515365600586,0.2545216310430657,-0.10711806415060121,0.592292070388794,0.820717434088389,0.360874495247934,results/fossum/class02_local_refinement_sd30_20260326/seed_37/k3
53,w72_h40_xds04_seed53_scalerON_final_sd30_20260325,5,2,117,2,2,"[25, 92]",25,92,3.68,0.32774671256287485,0.6004958152770996,0.7934651970863342,0.2324733333582552,-0.09527337920461965,0.6503459811210632,0.6503459811210632,0.3717651688776842,results/fossum/class02_local_refinement_sd30_20260326/seed_53/k2
53,w72_h40_xds04_seed53_scalerON_final_sd30_20260325,5,2,117,3,3,"[25, 57, 35]",25,57,2.28,0.32774671256287485,0.6004958152770996,0.7934651970863342,0.19487674540688849,-0.13286996715598637,0.3036265969276428,0.5284465750058492,0.4221758098155324,results/fossum/class02_local_refinement_sd30_20260326/seed_53/k3
71,w72_h40_xds04_seed71_scalerON_final_sd30_20260325,4,2,113,2,2,"[99, 14]",14,99,7.071428571428571,0.2725483743490371,0.4614758193492889,0.8912030458450317,0.22047835021419862,-0.052070024134838494,0.5917736887931824,0.5917736887931824,0.6297388865144253,results/fossum/class02_local_refinement_sd30_20260326/seed_71/k2
71,w72_h40_xds04_seed71_scalerON_final_sd30_20260325,4,2,113,3,3,"[99, 12, 2]",2,99,49.5,0.2725483743490371,0.4614758193492889,0.8912030458450317,0.21754459384004626,-0.05500378050899085,0.30781522393226624,0.5091674427191416,0.6125591853571339,results/fossum/class02_local_refinement_sd30_20260326/seed_71/k3
