image_idx_0_based,image_z_1_based,png_path
55,56,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z056.png
56,57,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z057.png
57,58,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z058.png
58,59,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z059.png
59,60,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z060.png
60,61,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z061.png
73,74,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z074.png
74,75,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z075.png
75,76,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z076.png
76,77,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z077.png
77,78,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z078.png
78,79,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z079.png
79,80,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z080.png
80,81,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z081.png
81,82,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z082.png
82,83,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z083.png
83,84,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z084.png
91,92,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z092.png
92,93,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z093.png
93,94,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z094.png
94,95,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z095.png
95,96,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z096.png
96,97,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z097.png
97,98,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z098.png
98,99,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z099.png
99,100,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z100.png
100,101,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png
114,115,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png
115,116,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z116.png
116,117,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z117.png
117,118,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z118.png
118,119,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z119.png
119,120,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z120.png
120,121,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z121.png
121,122,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z122.png
154,155,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
155,156,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
159,160,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z160.png
160,161,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z161.png
181,182,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z182.png
189,190,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z190.png
192,193,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z193.png
193,194,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z194.png
194,195,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z195.png
198,199,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z199.png
199,200,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z200.png
201,202,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z202.png
203,204,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z204.png
205,206,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z206.png
208,209,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z209.png
