dictionary_size,executed_runs,patch_w,patch_h,patches_per_image,total_patches,patch_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count
2,5,72,40,1025,307500,2880,8360.786743164062,2421.5538077599863,7969.245285700925,1363.229038024372,31.6,18,75.0,139.0,74.10727321999147,2.3086499610254116,5,False
3,5,72,40,1025,307500,2880,9623.787127685548,2655.825713340601,8682.481265793711,2197.5707375989714,36.8,22,75.0,117.8,112.44881884000498,3.297464742151541,5,False
4,5,72,40,1025,307500,2880,7900.3228515625,2142.31530943622,7674.836339043072,999.2634326319456,38.2,19,75.0,104.0,126.74641978000291,2.553553316374827,5,False
5,5,72,40,1025,307500,2880,10275.662341308594,3735.6793259878164,9624.146928898015,1819.0871265889484,40.2,16,75.0,112.6,135.44676703999866,4.866878100584742,5,False
6,5,72,40,1025,307500,2880,11105.3798828125,3184.7585639451895,10180.935715412568,1926.180028708952,50.0,26,75.0,104.0,139.13914266001083,12.108581817106458,5,False
7,5,72,40,1025,307500,2880,9744.855575561523,3327.426820756168,9346.653219807413,2087.879821157324,45.2,20,75.0,109.4,146.0325960999995,8.496349267920717,5,False
8,5,72,40,1025,307500,2880,10886.647955322265,3111.945843904402,10276.841482194306,1741.8882799803985,48.6,26,75.0,103.8,154.08888835999534,3.4980757029038982,5,False
9,5,72,40,1025,307500,2880,9852.592755126952,3393.706801945676,9324.273209596278,2189.929109181982,44.8,21,75.0,105.8,157.4255496799946,9.606246956379358,5,False
10,5,72,40,1025,307500,2880,10178.456646728515,2512.3996888091256,9013.329714785568,1607.1908501109401,52.6,31,75.0,106.2,156.05896249999643,10.223312414438086,5,False
11,5,72,40,1025,307500,2880,10918.664837646484,2507.134791660719,10636.140577678454,1248.9251410215022,46.4,30,75.0,113.8,158.70558420000597,8.844420071829168,5,False
12,5,72,40,1025,307500,2880,10760.444329833985,3304.502846371811,10202.864242821399,1453.3926969876447,42.0,20,75.0,102.0,157.63498563999892,6.082006508601009,5,False
