patch_w,patch_h,seed,dictionary_size,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
16,16,11,4,True,concat,raw,4753,1425900,512,19012,4,"[77, 59, 106, 58]",1092.033935546875,1888.369140625,1804.1365966796875,2095.21435546875,1719.938507080078,377.6752275251517,58,75.0,106,583.915529599999,ok
16,16,23,4,True,concat,raw,4753,1425900,512,19012,4,"[73, 102, 70, 55]",2328.063720703125,706.728515625,1994.576904296875,606.45458984375,1408.9559326171875,762.3717595307384,55,75.0,102,584.5771529000012,ok
24,16,11,4,True,concat,raw,4361,1308300,768,17444,4,"[70, 105, 74, 51]",2261.735595703125,763.431640625,2079.406982421875,513.060546875,1404.40869140625,773.9485138064432,51,75.0,105,503.7973518999988,ok
24,16,23,4,True,concat,raw,4361,1308300,768,17444,4,"[68, 73, 70, 89]",1935.963134765625,2328.063720703125,1079.235107421875,541.4542846679688,1471.1790618896484,701.4776863402013,68,75.0,89,533.7565477000007,ok
32,20,11,4,True,concat,raw,3645,1093500,1280,14580,4,"[97, 61, 106, 36]",3387.61083984375,648.1842651367188,1804.1365966796875,1253.3316650390625,1773.3158416748047,1017.7429523861828,36,75.0,106,424.0729496000004,ok
32,20,23,4,True,concat,raw,3645,1093500,1280,14580,4,"[76, 71, 67, 86]",2412.48388671875,1096.9627685546875,1939.1650390625,516.919921875,1491.3829040527344,733.8394251509019,67,75.0,86,428.2759004,ok
40,24,11,4,True,concat,raw,2993,897900,1920,11972,4,"[72, 69, 111, 48]",949.067138671875,2503.050537109375,1836.2625732421875,1870.899169921875,1789.819854736328,553.2390797162761,48,75.0,111,438.5224811999997,ok
40,24,23,4,True,concat,raw,2993,897900,1920,11972,4,"[159, 45, 50, 46]",2349.455322265625,1667.0908203125,2080.454345703125,1391.9764404296875,1872.2442321777344,368.7231176871138,45,75.0,159,727.0243826999995,ok
48,32,11,4,True,concat,raw,2145,643500,3072,8580,4,"[71, 55, 70, 104]",2352.3955078125,606.45458984375,2416.58740234375,723.3959350585938,1524.7083587646484,861.0757559003795,55,75.0,104,429.6684678999991,ok
48,32,23,4,True,concat,raw,2145,643500,3072,8580,4,"[138, 46, 62, 54]",1796.6839599609375,1641.618896484375,2115.49072265625,579.0562133789062,1533.2124481201172,576.764966188772,46,75.0,138,407.2851004000004,ok
56,32,11,4,True,concat,raw,1881,564300,3584,7524,4,"[145, 47, 50, 58]",2024.6552734375,1703.157958984375,513.2310791015625,2095.21435546875,1584.0646667480469,635.6614412699932,47,75.0,145,412.0008220999989,ok
56,32,23,4,True,concat,raw,1881,564300,3584,7524,4,"[87, 40, 54, 119]",2890.204345703125,1557.4984130859375,579.0562133789062,1090.3544921875,1529.2783660888672,858.5587049851163,40,75.0,119,359.9657246999996,ok
64,36,11,4,True,concat,raw,1421,426300,4608,5684,4,"[139, 80, 52, 29]",1805.280029296875,3116.85693359375,533.4765014648438,1730.2645263671875,1796.469497680664,914.1984211730688,29,75.0,139,322.9981048999998,ok
64,36,23,4,True,concat,raw,1421,426300,4608,5684,4,"[75, 116, 57, 52]",2395.197509765625,913.3590087890624,1656.755126953125,533.4765014648438,1374.697036743164,714.3988288593564,52,75.0,116,362.6260127999994,ok
72,40,11,4,True,concat,raw,1025,307500,5760,4100,4,"[59, 120, 69, 52]",1976.97607421875,1014.5405883789062,2450.60009765625,533.4765014648438,1493.8983154296875,758.4253938877174,52,75.0,120,309.4316583,ok
