distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,285,286,0.13227397203445435,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z286.png
2,196,197,0.14429494738578796,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z197.png
3,287,288,0.15515130758285522,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z288.png
4,286,287,0.21319591999053955,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z287.png
5,195,196,0.21591432392597198,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z196.png
6,296,297,0.22657212615013123,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z297.png
7,297,298,0.2548033595085144,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z298.png
8,210,211,0.26656657457351685,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z211.png
9,295,296,0.28070950508117676,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z296.png
10,276,277,0.28568899631500244,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z277.png
11,289,290,0.29138585925102234,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z290.png
12,284,285,0.29495367407798767,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z285.png
13,288,289,0.29598745703697205,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z289.png
14,204,205,0.3011878728866577,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z205.png
15,290,291,0.3309760093688965,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z291.png
16,274,275,0.3350972831249237,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z275.png
17,282,283,0.342549204826355,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z283.png
18,275,276,0.3428547978401184,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z276.png
19,209,210,0.3514014184474945,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z210.png
20,294,295,0.3626817762851715,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z295.png
21,291,292,0.38693660497665405,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z292.png
22,283,284,0.3907274901866913,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z284.png
23,268,269,0.40087783336639404,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z269.png
24,277,278,0.4018736481666565,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z278.png
25,269,270,0.41158169507980347,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z270.png
26,298,299,0.46174439787864685,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z299.png
27,292,293,0.5572443008422852,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z293.png
28,211,212,0.6362355947494507,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z212.png
29,293,294,0.6517447829246521,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z294.png
