image_idx_0_based,image_z_1_based,image_icv_proxy,png_path
100,101,0.003911142237484455,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png
187,188,0.9312556982040405,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z188.png
28,29,0.004671687260270119,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
174,175,0.6372990608215332,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z175.png
101,102,0.004684325773268938,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
173,174,0.6297657489776611,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z174.png
76,77,0.005755038931965828,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z077.png
175,176,0.6056705713272095,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z176.png
55,56,0.006359205115586519,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z056.png
172,173,0.56178218126297,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z173.png
125,126,0.007426724303513765,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png
237,238,0.4370361566543579,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z238.png
29,30,0.008296744897961617,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
236,237,0.42642220854759216,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z237.png
56,57,0.008409401401877403,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z057.png
238,239,0.4044959247112274,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z239.png
124,125,0.008549141697585583,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
146,147,0.4034801125526428,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
97,98,0.00949495192617178,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z098.png
171,172,0.3828922510147095,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png
99,100,0.009641891345381737,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z100.png
255,256,0.3786340057849884,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z256.png
30,31,0.009753696620464325,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
134,135,0.3591734766960144,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z135.png
51,52,0.009781829081475735,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
133,134,0.35799023509025574,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png
54,55,0.009941358119249344,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
246,247,0.3546792268753052,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z247.png
98,99,0.010425723157823086,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z099.png
256,257,0.35395050048828125,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
38,39,0.01049988903105259,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
257,258,0.3509484529495239,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
27,28,0.011387111619114876,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
163,164,0.34844672679901123,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png
53,54,0.011454357765614986,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
132,133,0.3482232987880707,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
102,103,0.01163511723279953,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
245,246,0.3406640291213989,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z246.png
48,49,0.01207229308784008,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z049.png
239,240,0.32517215609550476,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png
49,50,0.01213453896343708,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
131,132,0.31916284561157227,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
52,53,0.012238983064889908,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
147,148,0.318907231092453,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
37,38,0.013646970503032207,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png
142,143,0.31673792004585266,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png
95,96,0.01558668538928032,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z096.png
248,249,0.3139430582523346,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
39,40,0.01618683896958828,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
247,248,0.30819615721702576,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
