distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,219,220,0.10667820274829865,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z220.png
2,228,229,0.1875862330198288,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z229.png
3,220,221,0.1894974410533905,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z221.png
4,229,230,0.20774641633033752,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z230.png
5,218,219,0.21663105487823486,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png
6,216,217,0.23508207499980927,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png
7,215,216,0.24721239507198334,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png
8,217,218,0.2530498206615448,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png
9,230,231,0.2552771270275116,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z231.png
10,176,177,0.2887648642063141,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z177.png
11,202,203,0.3511592745780945,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z203.png
12,227,228,0.35802972316741943,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z228.png
13,214,215,0.3820517957210541,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z215.png
14,231,232,0.40751591324806213,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z232.png
15,186,187,0.4663180112838745,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z187.png
16,221,222,0.534400999546051,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z222.png
17,175,176,0.5492798089981079,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z176.png
18,174,175,0.6164209842681885,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z175.png
19,187,188,0.7040662169456482,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z188.png
20,203,204,0.7421377301216125,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z204.png
