distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,179,180,0.11396633833646774,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png
2,178,179,0.11498350650072098,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
3,161,162,0.11986292153596878,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
4,157,158,0.13273391127586365,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
5,153,154,0.16669516265392303,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
6,244,245,0.1718073934316635,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png
7,168,169,0.1734386682510376,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
8,261,262,0.1811939775943756,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png
9,156,157,0.182280495762825,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
10,241,242,0.18556858599185944,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png
11,129,130,0.1885823756456375,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png
12,158,159,0.20205271244049072,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
13,170,171,0.21124914288520813,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
14,240,241,0.21273724734783173,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z241.png
15,243,244,0.2127547413110733,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png
16,169,170,0.22008514404296875,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
17,242,243,0.2229558825492859,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png
18,180,181,0.23027484118938446,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
19,177,178,0.2349807173013687,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
20,206,207,0.2503598630428314,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
21,182,183,0.26280954480171204,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
22,207,208,0.28588035702705383,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
23,235,236,0.2900439500808716,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z236.png
24,130,131,0.29492732882499695,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
25,239,240,0.30795642733573914,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png
26,260,261,0.32031509280204773,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z261.png
27,154,155,0.34736183285713196,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
28,167,168,0.36029377579689026,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png
29,155,156,0.3826647400856018,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
30,128,129,0.42403551936149597,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png
31,152,153,0.5079386234283447,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z153.png
32,280,281,0.5133676528930664,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z281.png
33,279,280,0.5258693695068359,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z280.png
34,238,239,0.5544458627700806,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z239.png
35,236,237,0.5742455720901489,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z237.png
36,281,282,0.5753294825553894,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z282.png
37,205,206,0.5761978626251221,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z206.png
