distance_rank_asc,global_image_idx_0_based,global_image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,171,172,0.09500071406364441,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png
2,164,165,0.12386754155158997,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z165.png
3,144,145,0.1509023755788803,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z145.png
4,166,167,0.1604076474905014,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z167.png
5,145,146,0.21299149096012115,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z146.png
6,162,163,0.22673211991786957,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z163.png
7,232,233,0.23396237194538116,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z233.png
8,233,234,0.23804794251918793,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z234.png
9,131,132,0.27268266677856445,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
10,132,133,0.2895241677761078,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
11,165,166,0.30726563930511475,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z166.png
12,183,184,0.30798864364624023,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
13,188,189,0.31607723236083984,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z189.png
14,184,185,0.3204491138458252,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
15,141,142,0.33654674887657166,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z142.png
16,234,235,0.35456642508506775,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z235.png
17,185,186,0.4957629144191742,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
