distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,14,15,0.07967932522296906,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png
2,15,16,0.0812346339225769,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png
3,137,138,0.08312348276376724,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z138.png
4,136,137,0.09289693832397461,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z137.png
5,17,18,0.09302829951047897,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png
6,104,105,0.09671847522258759,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png
7,138,139,0.10211312025785446,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z139.png
8,108,109,0.11181140691041946,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z109.png
9,35,36,0.11244457960128784,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png
10,151,152,0.11630424112081528,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z152.png
11,16,17,0.11872030049562454,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png
12,109,110,0.1272183358669281,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png
13,13,14,0.13325858116149902,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png
14,107,108,0.13637690246105194,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z108.png
15,139,140,0.14320437610149384,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z140.png
16,41,42,0.14829236268997192,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
17,42,43,0.14864197373390198,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
18,135,136,0.15737666189670563,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z136.png
19,43,44,0.15757332742214203,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
20,250,251,0.16060929000377655,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z251.png
21,34,35,0.16172564029693604,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png
22,40,41,0.1632528007030487,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
23,47,48,0.16717861592769623,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
24,44,45,0.1686147302389145,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z045.png
25,110,111,0.16898113489151,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z111.png
26,143,144,0.16965293884277344,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z144.png
27,2,3,0.1700180172920227,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
28,1,2,0.17292651534080505,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
