patch_w,patch_h,seed,patches_per_image,total_patches,patch_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
16,16,11,4753,1425900,256,4,"[149, 26, 90, 35]",1591.1475830078125,14467.80859375,7405.6357421875,12971.4599609375,9109.012969970703,5075.799967790537,26,75.0,149,324.7289887000006,ok
16,16,23,4753,1425900,256,4,"[149, 26, 90, 35]",1591.1475830078125,14467.80859375,7405.6357421875,12971.4599609375,9109.012969970703,5075.799967790537,26,75.0,149,321.6423477999997,ok
16,16,37,4753,1425900,256,4,"[149, 26, 90, 35]",1591.1475830078125,14467.80859375,7405.6357421875,12971.4599609375,9109.012969970703,5075.799967790537,26,75.0,149,350.28550780000296,ok
16,16,53,4753,1425900,256,4,"[149, 26, 90, 35]",1591.1475830078125,14467.80859375,7405.6357421875,12971.4599609375,9109.012969970703,5075.799967790537,26,75.0,149,355.602564300003,ok
16,16,71,4753,1425900,256,4,"[149, 26, 90, 35]",1591.1475830078125,14467.80859375,7405.6357421875,12971.4599609375,9109.012969970703,5075.799967790537,26,75.0,149,356.45833199999834,ok
24,16,11,4361,1308300,384,4,"[152, 63, 67, 18]",1779.380126953125,15829.751953125,5914.80078125,612.8152465820312,6034.187026977539,5988.781158044668,18,75.0,152,336.26405410000007,ok
24,16,23,4361,1308300,384,4,"[152, 63, 67, 18]",1779.380126953125,15829.751953125,5914.80078125,612.8152465820312,6034.187026977539,5988.781158044668,18,75.0,152,326.0147825000022,ok
24,16,37,4361,1308300,384,4,"[152, 63, 67, 18]",1779.380126953125,15829.751953125,5914.80078125,612.8152465820312,6034.187026977539,5988.781158044668,18,75.0,152,307.03258970000024,ok
24,16,53,4361,1308300,384,4,"[152, 63, 67, 18]",1779.380126953125,15829.751953125,5914.80078125,612.8152465820312,6034.187026977539,5988.781158044668,18,75.0,152,292.78481519999696,ok
24,16,71,4361,1308300,384,4,"[152, 63, 67, 18]",1779.380126953125,15829.751953125,5914.80078125,612.8152465820312,6034.187026977539,5988.781158044668,18,75.0,152,294.23754779999945,ok
32,20,11,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,277.74480010000116,ok
32,20,23,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,279.7799744999975,ok
32,20,37,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,277.9506652000018,ok
32,20,53,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,279.19235870000193,ok
32,20,71,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,278.9878157000021,ok
40,24,11,2993,897900,960,4,"[32, 132, 66, 70]",1293.5516357421875,1256.69677734375,14963.7109375,5032.17919921875,5636.534637451172,5599.239775672167,32,75.0,132,243.7057574999999,ok
40,24,23,2993,897900,960,4,"[32, 132, 66, 70]",1293.5516357421875,1256.69677734375,14963.7109375,5032.17919921875,5636.534637451172,5599.239775672167,32,75.0,132,243.42439329999615,ok
40,24,37,2993,897900,960,4,"[32, 132, 66, 70]",1293.5516357421875,1256.69677734375,14963.7109375,5032.17919921875,5636.534637451172,5599.239775672167,32,75.0,132,242.73486089999642,ok
40,24,53,2993,897900,960,4,"[32, 132, 66, 70]",1293.5516357421875,1256.69677734375,14963.7109375,5032.17919921875,5636.534637451172,5599.239775672167,32,75.0,132,244.06154029999743,ok
40,24,71,2993,897900,960,4,"[32, 132, 66, 70]",1293.5516357421875,1256.69677734375,14963.7109375,5032.17919921875,5636.534637451172,5599.239775672167,32,75.0,132,246.01884920000157,ok
48,32,11,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.1157302856445,5044.095513425827,16,75.0,106,204.10741509999934,ok
48,32,23,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.1157302856445,5044.095513425827,16,75.0,106,203.04652370000258,ok
48,32,37,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.1157302856445,5044.095513425827,16,75.0,106,234.40372110000317,ok
48,32,53,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.1157302856445,5044.095513425827,16,75.0,106,232.40821630000573,ok
48,32,71,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.1157302856445,5044.095513425827,16,75.0,106,232.83736109999882,ok
56,32,11,1881,564300,1792,4,"[168, 56, 19, 57]",3423.6533203125,16382.1220703125,679.7262573242188,1083.03515625,5392.134201049805,6430.977249811107,19,75.0,168,215.25627019999956,ok
56,32,23,1881,564300,1792,4,"[168, 56, 19, 57]",3423.6533203125,16382.1220703125,679.7262573242188,1083.03515625,5392.134201049805,6430.977249811107,19,75.0,168,241.98906390000047,ok
56,32,37,1881,564300,1792,4,"[168, 56, 19, 57]",3423.6533203125,16382.1220703125,679.7262573242188,1083.03515625,5392.134201049805,6430.977249811107,19,75.0,168,213.32068309999886,ok
56,32,53,1881,564300,1792,4,"[168, 56, 19, 57]",3423.6533203125,16382.1220703125,679.7262573242188,1083.03515625,5392.134201049805,6430.977249811107,19,75.0,168,217.83631330000208,ok
56,32,71,1881,564300,1792,4,"[168, 56, 19, 57]",3423.6533203125,16382.1220703125,679.7262573242188,1083.03515625,5392.134201049805,6430.977249811107,19,75.0,168,234.7351920000001,ok
64,36,11,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,199.957476399999,ok
64,36,23,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,200.37588909999613,ok
64,36,37,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,187.8556383000032,ok
64,36,53,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,190.04631179999706,ok
64,36,71,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,187.2133432000046,ok
72,40,11,1025,307500,2880,4,"[134, 99, 21, 46]",1522.2021484375,10805.8046875,666.8970947265625,3584.821533203125,4144.931365966797,3989.247653714756,21,75.0,134,151.56439839999803,ok
72,40,23,1025,307500,2880,4,"[134, 99, 21, 46]",1522.2021484375,10805.8046875,666.8970947265625,3584.821533203125,4144.931365966797,3989.247653714756,21,75.0,134,153.32801269999618,ok
72,40,37,1025,307500,2880,4,"[134, 99, 21, 46]",1522.2021484375,10805.8046875,666.8970947265625,3584.821533203125,4144.931365966797,3989.247653714756,21,75.0,134,154.82590319999872,ok
