patch_w,patch_h,seed,patches_per_image,total_patches,patch_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes,execution_status
32,20,11,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,277.7448001000012,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
32,20,23,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,279.7799744999975,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
32,20,37,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,277.9506652000018,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
32,20,53,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,279.19235870000193,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
32,20,71,3645,1093500,640,4,"[99, 35, 86, 80]",3209.497802734375,1172.2200927734375,9491.806640625,784.3942260742188,3664.479690551758,3488.2301417303565,35,75.0,99,278.9878157000021,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
48,32,11,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.115730285645,5044.095513425827,16,75.0,106,204.10741509999932,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
48,32,23,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.115730285645,5044.095513425827,16,75.0,106,203.04652370000255,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
48,32,37,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.115730285645,5044.095513425827,16,75.0,106,234.4037211000032,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
48,32,53,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.115730285645,5044.095513425827,16,75.0,106,232.40821630000573,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
48,32,71,2145,643500,1536,4,"[106, 75, 16, 103]",12366.681640625,1254.432373046875,507.26959228515625,460.0793151855469,3647.115730285645,5044.095513425827,16,75.0,106,232.8373610999988,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
64,36,11,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,199.957476399999,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
64,36,23,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,200.37588909999613,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
64,36,37,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,187.8556383000032,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
64,36,53,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,190.04631179999703,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
64,36,71,1421,426300,2304,4,"[101, 33, 108, 58]",12611.29296875,1443.706787109375,553.5692138671875,1350.4910888671875,3989.7650146484375,4989.64841441733,33,75.0,108,187.2133432000046,ok,baseline_from_original_runs__debugfixed_rerun_not_executed
