image_idx_0_based,image_z_1_based,png_path
4,5,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png
5,6,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png
6,7,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z007.png
7,8,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z008.png
8,9,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z009.png
9,10,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png
10,11,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png
11,12,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
19,20,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png
20,21,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z021.png
30,31,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
31,32,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
53,54,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
54,55,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
55,56,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z056.png
76,77,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z077.png
96,97,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z097.png
100,101,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png
101,102,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
105,106,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png
106,107,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
114,115,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png
121,122,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z122.png
122,123,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z123.png
123,124,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
147,148,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
148,149,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
149,150,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
154,155,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
155,156,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
158,159,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
159,160,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z160.png
169,170,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
178,179,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
180,181,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
181,182,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z182.png
182,183,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
183,184,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
184,185,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
185,186,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
188,189,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z189.png
206,207,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
207,208,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
215,216,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png
216,217,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png
217,218,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png
218,219,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png
219,220,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z220.png
220,221,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z221.png
228,229,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z229.png
