time_index,date
0,2023-10-28
1,2023-10-29
2,2023-10-30
3,2023-10-31
4,2023-11-01
5,2023-11-02
6,2023-11-03
7,2023-11-04
8,2023-11-05
9,2023-11-06
10,2023-11-07
11,2023-11-08
12,2023-11-09
13,2023-11-10
14,2023-11-11
15,2023-11-12
16,2023-11-13
17,2023-11-14
18,2023-11-15
19,2023-11-16
20,2023-11-17
21,2023-11-18
22,2023-11-19
23,2023-11-20
24,2023-11-21
25,2023-11-22
26,2023-11-23
27,2023-11-24
28,2023-11-25
29,2023-11-26
30,2023-11-27
31,2023-11-28
32,2023-11-29
33,2023-11-30
34,2023-12-01
35,2023-12-02
36,2023-12-03
37,2023-12-04
38,2023-12-05
39,2023-12-06
40,2023-12-07
41,2023-12-08
42,2023-12-09
43,2023-12-10
44,2023-12-11
45,2023-12-12
46,2023-12-13
47,2023-12-14
48,2023-12-15
49,2023-12-16
50,2023-12-17
51,2023-12-18
52,2023-12-19
53,2023-12-20
54,2023-12-21
55,2023-12-22
56,2023-12-23
57,2023-12-24
58,2023-12-25
59,2023-12-26
60,2023-12-27
61,2023-12-28
62,2023-12-29
63,2023-12-30
64,2023-12-31
65,2024-01-01
66,2024-01-02
67,2024-01-03
68,2024-01-04
69,2024-01-05
70,2024-01-06
71,2024-01-07
72,2024-01-08
73,2024-01-09
74,2024-01-10
75,2024-01-11
76,2024-01-12
77,2024-01-13
78,2024-01-14
79,2024-01-15
80,2024-01-16
81,2024-01-17
82,2024-01-18
83,2024-01-19
84,2024-01-20
85,2024-01-21
86,2024-01-22
87,2024-01-23
88,2024-01-24
89,2024-01-25
90,2024-01-26
91,2024-01-27
92,2024-01-28
93,2024-01-29
94,2024-01-30
95,2024-01-31
96,2024-02-01
97,2024-02-02
98,2024-02-03
99,2024-02-04
100,2024-02-05
101,2024-02-06
102,2024-02-07
103,2024-02-08
104,2024-02-09
105,2024-02-10
106,2024-02-11
107,2024-02-12
108,2024-02-13
109,2024-02-14
110,2024-02-15
111,2024-02-16
112,2024-02-17
113,2024-02-18
114,2024-02-19
115,2024-02-20
116,2024-02-21
117,2024-02-22
118,2024-02-23
119,2024-02-24
120,2024-02-25
121,2024-02-26
122,2024-02-27
123,2024-02-28
124,2024-02-29
125,2024-03-01
126,2024-03-02
127,2024-03-03
128,2024-03-04
129,2024-03-05
130,2024-03-06
131,2024-03-07
132,2024-03-08
133,2024-03-09
134,2024-03-10
135,2024-03-11
136,2024-03-12
137,2024-03-13
138,2024-03-14
139,2024-03-15
140,2024-03-16
141,2024-03-17
142,2024-03-18
143,2024-03-19
144,2024-03-20
145,2024-03-21
146,2024-03-22
147,2024-03-23
148,2024-03-24
149,2024-03-25
150,2024-03-26
151,2024-03-27
152,2024-03-28
153,2024-03-29
154,2024-03-30
155,2024-03-31
156,2024-04-01
157,2024-04-02
158,2024-04-03
159,2024-04-04
160,2024-04-05
161,2024-04-06
162,2024-04-07
163,2024-04-08
164,2024-04-09
165,2024-04-10
166,2024-04-11
167,2024-04-12
168,2024-04-13
169,2024-04-14
170,2024-04-15
171,2024-04-16
172,2024-04-17
173,2024-04-18
174,2024-04-19
175,2024-04-20
176,2024-04-21
177,2024-04-22
178,2024-04-23
179,2024-04-24
180,2024-04-25
181,2024-04-26
182,2024-04-27
183,2024-04-28
184,2024-04-29
185,2024-04-30
186,2024-05-01
187,2024-05-02
188,2024-05-03
189,2024-05-04
190,2024-05-05
191,2024-05-06
192,2024-05-07
193,2024-05-08
194,2024-05-09
195,2024-05-10
196,2024-05-11
197,2024-05-12
198,2024-05-13
199,2024-05-14
200,2024-05-15
201,2024-05-16
202,2024-05-17
203,2024-05-18
204,2024-05-19
205,2024-05-20
206,2024-05-21
207,2024-05-22
208,2024-05-23
209,2024-05-24
210,2024-05-25
211,2024-05-26
212,2024-05-27
213,2024-05-28
214,2024-05-29
215,2024-05-30
216,2024-05-31
217,2024-06-01
218,2024-06-02
219,2024-06-03
220,2024-06-04
221,2024-06-05
222,2024-06-06
223,2024-06-07
224,2024-06-08
225,2024-06-09
226,2024-06-10
227,2024-06-11
228,2024-06-12
229,2024-06-13
230,2024-06-14
231,2024-06-15
232,2024-06-16
233,2024-06-17
234,2024-06-18
235,2024-06-19
236,2024-06-20
237,2024-06-21
238,2024-06-22
239,2024-06-23
240,2024-06-24
241,2024-06-25
242,2024-06-26
243,2024-06-27
244,2024-06-28
245,2024-06-29
246,2024-06-30
247,2024-07-01
248,2024-07-02
249,2024-07-03
250,2024-07-04
251,2024-07-05
252,2024-07-06
253,2024-07-07
254,2024-07-08
255,2024-07-09
256,2024-07-10
257,2024-07-11
258,2024-07-12
259,2024-07-13
260,2024-07-14
261,2024-07-15
262,2024-07-16
263,2024-07-17
264,2024-07-18
265,2024-07-19
266,2024-07-20
267,2024-07-21
268,2024-07-22
269,2024-07-23
270,2024-07-24
271,2024-07-25
272,2024-07-26
273,2024-07-27
274,2024-07-28
275,2024-07-29
276,2024-07-30
277,2024-07-31
278,2024-08-01
279,2024-08-02
280,2024-08-03
281,2024-08-04
282,2024-08-05
283,2024-08-06
284,2024-08-07
285,2024-08-08
286,2024-08-09
287,2024-08-10
288,2024-08-11
289,2024-08-12
290,2024-08-13
291,2024-08-14
292,2024-08-15
293,2024-08-16
294,2024-08-17
295,2024-08-18
296,2024-08-19
297,2024-08-20
298,2024-08-21
299,2024-08-22
300,2024-08-23
301,2024-08-24
302,2024-08-25
303,2024-08-26
304,2024-08-27
305,2024-08-28
306,2024-08-29
307,2024-08-30
308,2024-08-31
309,2024-09-01
310,2024-09-02
311,2024-09-03
312,2024-09-04
313,2024-09-05
314,2024-09-06
315,2024-09-07
316,2024-09-08
317,2024-09-09
318,2024-09-10
319,2024-09-11
320,2024-09-12
321,2024-09-13
322,2024-09-14
323,2024-09-15
324,2024-09-16
325,2024-09-17
326,2024-09-18
327,2024-09-19
328,2024-09-20
329,2024-09-21
330,2024-09-22
331,2024-09-23
332,2024-09-24
333,2024-09-25
334,2024-09-26
335,2024-09-27
336,2024-09-28
337,2024-09-29
338,2024-09-30
339,2024-10-01
340,2024-10-02
341,2024-10-03
342,2024-10-04
343,2024-10-05
344,2024-10-06
345,2024-10-07
346,2024-10-08
347,2024-10-09
348,2024-10-10
349,2024-10-11
350,2024-10-12
351,2024-10-13
352,2024-10-14
353,2024-10-15
354,2024-10-16
355,2024-10-17
356,2024-10-18
357,2024-10-19
358,2024-10-20
359,2024-10-21
360,2024-10-22
361,2024-10-23
362,2024-10-24
363,2024-10-25
364,2024-10-26
365,2024-10-27
366,2024-10-28
367,2024-10-29
368,2024-10-30
369,2024-10-31
