cut_name,n_classes,class_sizes,min_class_size,max_class_size,mean_class_size,size_cv,tiny_class_count_lt10,mean_prototype_rmse,max_prototype_corr,temporal_runs,mean_overlap_purity_vs_original,interpretability_score,cut_type,cut_value,separation_distance
k4,4,"[157, 102, 26, 85]",26,157,92.5,0.5050222568484926,0,1.1361730553133498,0.9903951625278271,43,0.961764705882353,3.7006498764790474,maxclust,4.0,
k5,5,"[157, 102, 26, 13, 72]",13,157,74.0,0.7074166213158635,0,1.4336718891149243,0.9903951625278271,43,1.0,2.686810449477357,maxclust,5.0,
k6,6,"[157, 102, 13, 13, 13, 72]",13,157,61.666666666666664,0.8864040831839459,0,1.3079227455951783,0.9934324608504701,46,1.0,2.467265865599833,maxclust,6.0,
k7,7,"[38, 119, 102, 13, 13, 13, 72]",13,119,52.857142857142854,0.7879664722763918,0,1.312817857896226,0.9917232555551858,54,1.0,2.341593164178734,maxclust,7.0,
k8,8,"[38, 119, 55, 47, 13, 13, 13, 72]",13,119,46.25,0.741841429879367,0,1.3989798505611017,0.9931984748842957,69,1.0,2.2811313202155437,maxclust,8.0,
sd0.20,8,"[38, 119, 55, 47, 13, 13, 13, 72]",13,119,46.25,0.741841429879367,0,1.3989798505611017,0.9931984748842957,69,1.0,2.2811313202155437,sd_fraction,0.2,281.58827637890056
sd0.25,6,"[157, 102, 13, 13, 13, 72]",13,157,61.666666666666664,0.8864040831839459,0,1.3079227455951783,0.9934324608504701,46,1.0,2.467265865599833,sd_fraction,0.25,351.98534547362567
sd0.30,5,"[157, 102, 26, 13, 72]",13,157,74.0,0.7074166213158635,0,1.4336718891149243,0.9903951625278271,43,1.0,2.686810449477357,sd_fraction,0.3,422.3824145683508
sd0.35,5,"[157, 102, 26, 13, 72]",13,157,74.0,0.7074166213158635,0,1.4336718891149243,0.9903951625278271,43,1.0,2.686810449477357,sd_fraction,0.35,492.7794836630759
sd0.40,4,"[157, 102, 26, 85]",26,157,92.5,0.5050222568484926,0,1.1361730553133498,0.9903951625278271,43,0.961764705882353,3.7006498764790474,sd_fraction,0.4,563.1765527578011
