distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,176,177,0.06026321277022362,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0177_2024-04-21_X_surface_370_roi_x490_norm.png
2,108,109,0.06494038552045822,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0109_2024-02-13_X_surface_370_roi_x490_norm.png
3,115,116,0.07149656862020493,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0116_2024-02-20_X_surface_370_roi_x490_norm.png
4,114,115,0.07513947039842606,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0115_2024-02-19_X_surface_370_roi_x490_norm.png
5,82,83,0.07602496445178986,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0083_2024-01-18_X_surface_370_roi_x490_norm.png
6,116,117,0.079448401927948,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0117_2024-02-21_X_surface_370_roi_x490_norm.png
7,109,110,0.08193467557430267,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0110_2024-02-14_X_surface_370_roi_x490_norm.png
8,81,82,0.08306338638067245,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0082_2024-01-17_X_surface_370_roi_x490_norm.png
9,110,111,0.08420867472887039,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0111_2024-02-15_X_surface_370_roi_x490_norm.png
10,59,60,0.08806405961513519,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0060_2023-12-26_X_surface_370_roi_x490_norm.png
11,107,108,0.08842676877975464,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0108_2024-02-12_X_surface_370_roi_x490_norm.png
12,102,103,0.09233065694570541,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0103_2024-02-07_X_surface_370_roi_x490_norm.png
13,113,114,0.09382688999176025,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0114_2024-02-18_X_surface_370_roi_x490_norm.png
14,193,194,0.10023334622383118,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0194_2024-05-08_X_surface_370_roi_x490_norm.png
15,58,59,0.10398173332214355,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0059_2023-12-25_X_surface_370_roi_x490_norm.png
16,111,112,0.10520628094673157,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0112_2024-02-16_X_surface_370_roi_x490_norm.png
17,177,178,0.11133264005184174,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0178_2024-04-22_X_surface_370_roi_x490_norm.png
18,103,104,0.11167863756418228,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0104_2024-02-08_X_surface_370_roi_x490_norm.png
19,112,113,0.11299744248390198,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0113_2024-02-17_X_surface_370_roi_x490_norm.png
20,217,218,0.12215989828109741,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0218_2024-06-01_X_surface_370_roi_x490_norm.png
21,104,105,0.1265067756175995,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0105_2024-02-09_X_surface_370_roi_x490_norm.png
22,117,118,0.12994800508022308,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0118_2024-02-22_X_surface_370_roi_x490_norm.png
23,57,58,0.1308492124080658,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0058_2023-12-24_X_surface_370_roi_x490_norm.png
24,56,57,0.139505997300148,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0057_2023-12-23_X_surface_370_roi_x490_norm.png
25,168,169,0.14264699816703796,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0169_2024-04-13_X_surface_370_roi_x490_norm.png
26,169,170,0.16412164270877838,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0170_2024-04-14_X_surface_370_roi_x490_norm.png
27,317,318,0.20072925090789795,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0318_2024-09-09_X_surface_370_roi_x490_norm.png
28,206,207,0.20226982235908508,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0207_2024-05-21_X_surface_370_roi_x490_norm.png
29,318,319,0.2114153653383255,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0319_2024-09-10_X_surface_370_roi_x490_norm.png
30,325,326,0.28414085507392883,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0326_2024-09-17_X_surface_370_roi_x490_norm.png
