class_id,image_idx_0_based,day_index,date
1,34,35,2023-12-01
1,40,41,2023-12-07
1,41,42,2023-12-08
1,42,43,2023-12-09
1,43,44,2023-12-10
1,195,196,2024-05-10
1,196,197,2024-05-11
1,234,235,2024-06-18
1,235,236,2024-06-19
1,236,237,2024-06-20
1,242,243,2024-06-26
1,243,244,2024-06-27
1,245,246,2024-06-29
1,249,250,2024-07-03
1,250,251,2024-07-04
1,251,252,2024-07-05
1,252,253,2024-07-06
1,254,255,2024-07-08
1,255,256,2024-07-09
1,259,260,2024-07-13
1,268,269,2024-07-22
1,272,273,2024-07-26
1,273,274,2024-07-27
1,280,281,2024-08-03
1,281,282,2024-08-04
1,282,283,2024-08-05
1,283,284,2024-08-06
1,284,285,2024-08-07
1,285,286,2024-08-08
1,286,287,2024-08-09
1,293,294,2024-08-16
1,294,295,2024-08-17
1,295,296,2024-08-18
1,296,297,2024-08-19
1,297,298,2024-08-20
1,298,299,2024-08-21
1,299,300,2024-08-22
1,300,301,2024-08-23
1,301,302,2024-08-24
1,305,306,2024-08-28
1,306,307,2024-08-29
2,21,22,2023-11-18
2,22,23,2023-11-19
2,23,24,2023-11-20
2,24,25,2023-11-21
2,25,26,2023-11-22
2,26,27,2023-11-23
2,27,28,2023-11-24
2,28,29,2023-11-25
2,29,30,2023-11-26
2,30,31,2023-11-27
2,31,32,2023-11-28
2,32,33,2023-11-29
2,33,34,2023-11-30
2,219,220,2024-06-03
2,220,221,2024-06-04
2,221,222,2024-06-05
2,222,223,2024-06-06
2,223,224,2024-06-07
2,224,225,2024-06-08
2,225,226,2024-06-09
2,226,227,2024-06-10
2,227,228,2024-06-11
2,244,245,2024-06-28
2,246,247,2024-06-30
2,247,248,2024-07-01
2,248,249,2024-07-02
2,258,259,2024-07-12
2,260,261,2024-07-14
2,264,265,2024-07-18
2,265,266,2024-07-19
2,267,268,2024-07-21
2,269,270,2024-07-23
2,271,272,2024-07-25
2,274,275,2024-07-28
2,275,276,2024-07-29
2,279,280,2024-08-02
2,287,288,2024-08-10
2,292,293,2024-08-15
2,307,308,2024-08-30
2,308,309,2024-08-31
2,309,310,2024-09-01
2,310,311,2024-09-02
2,327,328,2024-09-19
2,328,329,2024-09-20
2,329,330,2024-09-21
2,330,331,2024-09-22
2,331,332,2024-09-23
2,332,333,2024-09-24
2,333,334,2024-09-25
