day_index,date,assigned_class_id,assigned_class_label,assigned_cv_regime_label,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch,class_id,class_label,class_size,cv_regime_label,qualitative_regime_label,prototype_mean,prototype_std,prototype_min,prototype_max,prototype_p05,prototype_p50,prototype_p95,gradient_mean,gradient_median,gradient_p90,gradient_p95,gradient_max,high_gradient_threshold,high_gradient_fraction,gradient_concentration_score,dominant_gradient_region,gradient_centroid_x_km,gradient_centroid_y_km,boundary_score,boundary_threshold,boundary_fraction,boundary_component_count,largest_boundary_component_fraction,boundary_length_proxy,boundary_orientation_proxy,boundary_region_label,heterogeneity_score,local_variance_mean,local_variance_p90,entropy_score,texture_score,spatial_roughness,unimodal_or_bimodal_flag,substructure_flag,cold_fraction,warm_fraction,neutral_fraction,cold_warm_ratio,segmentation_thresholds,segmentation_method,cold_region_centroid_x_km,cold_region_centroid_y_km,warm_region_centroid_x_km,warm_region_centroid_y_km,segment_interface_score,mean_member_to_prototype_rmse,std_member_to_prototype_rmse,max_member_to_prototype_rmse,representative_member_ids,outlier_member_ids,intra_class_variability_score,compactness_score,interest_mean,interest_p90
1,2024-10-01,2,class_02_single_gradient,single_gradient,28.931276321411133,63.04633331298828,34.11505889892578,0.5411109328269958,5,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
2,2024-10-02,2,class_02_single_gradient,single_gradient,28.627586364746094,46.368892669677734,17.74130630493164,0.3826122581958771,1,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
3,2024-10-03,3,class_03_homogeneous,homogeneous,75.9425048828125,77.46223449707031,1.5197296142578125,0.01961897499859333,3,2,False,True,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
4,2024-10-04,2,class_02_single_gradient,single_gradient,61.57920455932617,64.13214111328125,2.552936553955078,0.03980744257569313,2,2,False,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
5,2024-10-05,3,class_03_homogeneous,homogeneous,37.57094955444336,37.72645950317383,0.15550994873046875,0.004122039303183556,2,2,True,True,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
6,2024-10-06,2,class_02_single_gradient,single_gradient,51.628746032714844,63.39685821533203,11.768112182617188,0.1856261044740677,2,2,False,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
7,2024-10-07,2,class_02_single_gradient,single_gradient,21.23489761352539,62.05527114868164,40.82037353515625,0.6578066945075989,6,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
8,2024-10-08,2,class_02_single_gradient,single_gradient,26.636337280273438,69.001708984375,42.36537170410156,0.6139757037162781,6,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
9,2024-10-09,2,class_02_single_gradient,single_gradient,37.864253997802734,79.33636474609375,41.472110748291016,0.5227377414703369,5,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
10,2024-10-10,2,class_02_single_gradient,single_gradient,83.1124496459961,112.32844543457031,29.21599578857422,0.26009437441825867,5,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
