path,language,probable_objective,matched_terms,matched_term_count,generates_temppred,generates_std,limited_to_october,accepts_arbitrary_dates,hardcoded_paths,depends_on_matlab_or_toolboxes,can_run_batch,auto_generation_candidate,risk_or_limitation
scripts\10a_prepare_class01_class06_temppred_std_generation.py,Python,Writes/exports multi-day simulation or prediction NetCDF outputs.,TEMPpred|STD|predModel|simulations|realizations|SGS|DSS|kriging|geostatistical|write14days|HighRes|HRes|thetao|BATHY|LAT|LON|NetCDF|ncread|ncwrite,19,True,True,True,False,True,True,True,False,hardcoded paths; appears October-specific; MATLAB/external executable dependency
scripts\Old_Code\explore_dataset.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|predModel|kriging|HRes|BATHY|LAT|LON|NetCDF,9,True,True,True,False,True,True,True,False,hardcoded paths; appears October-specific; MATLAB/external executable dependency
scripts\check_required_data.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|predModel|simulations|HighRes|HRes|thetao|LAT|LON,9,True,True,True,False,False,False,True,False,appears October-specific
scripts\georeference_tempres_from_axes_day299.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|predModel|HighRes|HRes|BATHY|LAT|LON|NetCDF,9,True,True,True,False,False,False,True,False,appears October-specific
scripts\temperature_field_equivalence_audit.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|predModel|HighRes|HRes|BATHY|LAT|LON,8,True,True,True,False,False,True,True,False,appears October-specific; MATLAB/external executable dependency
scripts\08_build_final_descriptors_from_canonical_prototypes.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|HRes|BATHY|LAT|LON,6,True,True,True,False,False,False,True,False,appears October-specific
scripts\Old_Code\utils.py,Python,Handles prediction model TEMPpred outputs.,STD|predModel|HRes|LAT|NetCDF,5,True,True,False,True,False,True,True,False,MATLAB/external executable dependency
scripts\exhaustive_temperature_transform_search_day299.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|HRes|LAT|LON,5,True,True,True,False,False,False,True,False,appears October-specific
scripts\05_canonical_fossum_roi_x490_patch40x24_dict4_sd25.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|HRes|LAT,4,True,True,False,True,True,False,True,False,hardcoded paths
scripts\07_cv_analysis_canonical_fossum_roi_x490.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|HRes|LAT,4,True,True,True,False,False,False,True,False,appears October-specific
scripts\07_cv_analysis_canonical_fossum_roi_x490_notebook_faithful.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|HRes|LAT,4,True,True,True,False,False,False,True,False,appears October-specific
scripts\09_classify_october_temppred_and_assign_descriptors.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|LAT,3,True,True,True,False,False,False,True,False,appears October-specific
scripts\14_tempibhres_hres_registration_controlled.py,Python,Handles prediction model TEMPpred outputs.,TEMPpred|STD|predModel|HighRes|HRes|BATHY|LAT|LON|NetCDF,9,True,False,True,False,False,False,True,False,appears October-specific
scripts\audit_tempres_georeference.py,Python,Handles prediction model TEMPpred outputs.,predModel|HRes|LAT|LON|NetCDF,5,True,False,True,False,False,False,True,False,appears October-specific
scripts\compare_candb_vs_userdirect_roi.py,Python,Handles prediction model TEMPpred outputs.,STD|predModel|HRes|LAT|LON,5,True,False,True,False,False,False,True,False,appears October-specific
scripts\investigate_mask_vs_regridding_day299.py,Python,Handles prediction model TEMPpred outputs.,STD|predModel|HRes|LAT|LON,5,True,False,True,False,False,False,True,False,appears October-specific
scripts\generate_candb_nomask_day299.py,Python,Handles prediction model TEMPpred outputs.,predModel|HRes|LAT|LON,4,True,False,True,False,False,False,True,False,appears October-specific
scripts\Old_Code\io_gslib.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|BATHY|LAT|LON,4,False,True,False,False,False,False,True,False,Needs manual validation before execution.
data\TEST_D4\HighRes\Daily_dpt_20241029_NewTest_1\Nazare_30-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
