date,day_index_370,image_idx_0_based,class_id,class_label,raw_all_thetao_available,hres_file_available,predmodel_file_available,hres_file,predmodel_file,input_availability_status,generation_feasibility
2023-12-01,35,34,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-02,36,35,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-03,37,36,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-04,38,37,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-05,39,38,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-06,40,39,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-07,41,40,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-08,42,41,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-09,43,42,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-10,44,43,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-11,45,44,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-12,46,45,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-13,47,46,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-14,48,47,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-15,49,48,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
