date,image_idx_0_based,day_index_1_based,hres_180x240_available_in_python_output,roi_x490_72x117_available,step00_raw_roi_available,step00_norm_roi_available,existing_filipa_hres_nc_for_date,predmodel_1_exists_for_target_date,all_17_predmodels_exist_for_target_date,predmodel_1_path
2023-10-28,0,1,True,True,True,True,,False,False,
2023-10-29,1,2,True,True,True,True,,False,False,
2023-10-30,2,3,True,True,True,True,,False,False,
2023-10-31,3,4,True,True,True,True,,False,False,
2023-11-01,4,5,True,True,True,True,,False,False,
2023-11-02,5,6,True,True,True,True,,False,False,
2023-11-03,6,7,True,True,True,True,,False,False,
2023-11-04,7,8,True,True,True,True,,False,False,
2023-11-05,8,9,True,True,True,True,,False,False,
2023-11-06,9,10,True,True,True,True,,False,False,
2023-11-07,10,11,True,True,True,True,,False,False,
2023-11-08,11,12,True,True,True,True,,False,False,
2023-11-09,12,13,True,True,True,True,,False,False,
2023-11-10,13,14,True,True,True,True,,False,False,
2023-11-11,14,15,True,True,True,True,,False,False,
2023-11-12,15,16,True,True,True,True,,False,False,
2023-11-13,16,17,True,True,True,True,,False,False,
2023-11-14,17,18,True,True,True,True,,False,False,
2023-11-15,18,19,True,True,True,True,,False,False,
2023-11-16,19,20,True,True,True,True,,False,False,
2023-11-17,20,21,True,True,True,True,,False,False,
2023-11-18,21,22,True,True,True,True,,False,False,
2023-11-19,22,23,True,True,True,True,,False,False,
2023-11-20,23,24,True,True,True,True,,False,False,
2023-11-21,24,25,True,True,True,True,,False,False,
2023-11-22,25,26,True,True,True,True,,False,False,
2023-11-23,26,27,True,True,True,True,,False,False,
2023-11-24,27,28,True,True,True,True,,False,False,
2023-11-25,28,29,True,True,True,True,,False,False,
2023-11-26,29,30,True,True,True,True,,False,False,
2023-11-27,30,31,True,True,True,True,,False,False,
2023-11-28,31,32,True,True,True,True,,False,False,
2023-11-29,32,33,True,True,True,True,,False,False,
2023-11-30,33,34,True,True,True,True,,False,False,
2023-12-01,34,35,True,True,True,True,,False,False,
2023-12-02,35,36,True,True,True,True,,False,False,
2023-12-03,36,37,True,True,True,True,,False,False,
2023-12-04,37,38,True,True,True,True,,False,False,
2023-12-05,38,39,True,True,True,True,,False,False,
2023-12-06,39,40,True,True,True,True,,False,False,
2023-12-07,40,41,True,True,True,True,,False,False,
2023-12-08,41,42,True,True,True,True,,False,False,
2023-12-09,42,43,True,True,True,True,,False,False,
2023-12-10,43,44,True,True,True,True,,False,False,
2023-12-11,44,45,True,True,True,True,,False,False,
2023-12-12,45,46,True,True,True,True,,False,False,
2023-12-13,46,47,True,True,True,True,,False,False,
2023-12-14,47,48,True,True,True,True,,False,False,
2023-12-15,48,49,True,True,True,True,,False,False,
2023-12-16,49,50,True,True,True,True,,False,False,
2023-12-17,50,51,True,True,True,True,,False,False,
2023-12-18,51,52,True,True,True,True,,False,False,
2023-12-19,52,53,True,True,True,True,,False,False,
2023-12-20,53,54,True,True,True,True,,False,False,
2023-12-21,54,55,True,True,True,True,,False,False,
2023-12-22,55,56,True,True,True,True,,False,False,
2023-12-23,56,57,True,True,True,True,,False,False,
2023-12-24,57,58,True,True,True,True,,False,False,
2023-12-25,58,59,True,True,True,True,,False,False,
2023-12-26,59,60,True,True,True,True,,False,False,
2023-12-27,60,61,True,True,True,True,,False,False,
2023-12-28,61,62,True,True,True,True,,False,False,
2023-12-29,62,63,True,True,True,True,,False,False,
2023-12-30,63,64,True,True,True,True,,False,False,
2023-12-31,64,65,True,True,True,True,,False,False,
2024-01-01,65,66,True,True,True,True,,False,False,
2024-01-02,66,67,True,True,True,True,,False,False,
2024-01-03,67,68,True,True,True,True,,False,False,
2024-01-04,68,69,True,True,True,True,,False,False,
2024-01-05,69,70,True,True,True,True,,False,False,
2024-01-06,70,71,True,True,True,True,,False,False,
2024-01-07,71,72,True,True,True,True,,False,False,
2024-01-08,72,73,True,True,True,True,,False,False,
2024-01-09,73,74,True,True,True,True,,False,False,
2024-01-10,74,75,True,True,True,True,,False,False,
2024-01-11,75,76,True,True,True,True,,False,False,
2024-01-12,76,77,True,True,True,True,,False,False,
2024-01-13,77,78,True,True,True,True,,False,False,
2024-01-14,78,79,True,True,True,True,,False,False,
2024-01-15,79,80,True,True,True,True,,False,False,
2024-01-16,80,81,True,True,True,True,,False,False,
2024-01-17,81,82,True,True,True,True,,False,False,
2024-01-18,82,83,True,True,True,True,,False,False,
2024-01-19,83,84,True,True,True,True,,False,False,
2024-01-20,84,85,True,True,True,True,,False,False,
2024-01-21,85,86,True,True,True,True,,False,False,
2024-01-22,86,87,True,True,True,True,,False,False,
2024-01-23,87,88,True,True,True,True,,False,False,
2024-01-24,88,89,True,True,True,True,,False,False,
2024-01-25,89,90,True,True,True,True,,False,False,
2024-01-26,90,91,True,True,True,True,,False,False,
2024-01-27,91,92,True,True,True,True,,False,False,
2024-01-28,92,93,True,True,True,True,,False,False,
2024-01-29,93,94,True,True,True,True,,False,False,
2024-01-30,94,95,True,True,True,True,,False,False,
2024-01-31,95,96,True,True,True,True,,False,False,
2024-02-01,96,97,True,True,True,True,,False,False,
2024-02-02,97,98,True,True,True,True,,False,False,
2024-02-03,98,99,True,True,True,True,,False,False,
2024-02-04,99,100,True,True,True,True,,False,False,
2024-02-05,100,101,True,True,True,True,,False,False,
2024-02-06,101,102,True,True,True,True,,False,False,
2024-02-07,102,103,True,True,True,True,,False,False,
2024-02-08,103,104,True,True,True,True,,False,False,
2024-02-09,104,105,True,True,True,True,,False,False,
2024-02-10,105,106,True,True,True,True,,False,False,
2024-02-11,106,107,True,True,True,True,,False,False,
2024-02-12,107,108,True,True,True,True,,False,False,
2024-02-13,108,109,True,True,True,True,,False,False,
2024-02-14,109,110,True,True,True,True,,False,False,
2024-02-15,110,111,True,True,True,True,,False,False,
2024-02-16,111,112,True,True,True,True,,False,False,
2024-02-17,112,113,True,True,True,True,,False,False,
2024-02-18,113,114,True,True,True,True,,False,False,
2024-02-19,114,115,True,True,True,True,,False,False,
2024-02-20,115,116,True,True,True,True,,False,False,
2024-02-21,116,117,True,True,True,True,,False,False,
2024-02-22,117,118,True,True,True,True,,False,False,
2024-02-23,118,119,True,True,True,True,,False,False,
2024-02-24,119,120,True,True,True,True,,False,False,
2024-02-25,120,121,True,True,True,True,,False,False,
2024-02-26,121,122,True,True,True,True,,False,False,
2024-02-27,122,123,True,True,True,True,,False,False,
2024-02-28,123,124,True,True,True,True,,False,False,
2024-02-29,124,125,True,True,True,True,,False,False,
2024-03-01,125,126,True,True,True,True,,False,False,
2024-03-02,126,127,True,True,True,True,,False,False,
2024-03-03,127,128,True,True,True,True,,False,False,
2024-03-04,128,129,True,True,True,True,,False,False,
2024-03-05,129,130,True,True,True,True,,False,False,
2024-03-06,130,131,True,True,True,True,,False,False,
2024-03-07,131,132,True,True,True,True,,False,False,
2024-03-08,132,133,True,True,True,True,,False,False,
2024-03-09,133,134,True,True,True,True,,False,False,
2024-03-10,134,135,True,True,True,True,,False,False,
2024-03-11,135,136,True,True,True,True,,False,False,
2024-03-12,136,137,True,True,True,True,,False,False,
2024-03-13,137,138,True,True,True,True,,False,False,
2024-03-14,138,139,True,True,True,True,,False,False,
2024-03-15,139,140,True,True,True,True,,False,False,
2024-03-16,140,141,True,True,True,True,,False,False,
2024-03-17,141,142,True,True,True,True,,False,False,
2024-03-18,142,143,True,True,True,True,,False,False,
2024-03-19,143,144,True,True,True,True,,False,False,
2024-03-20,144,145,True,True,True,True,,False,False,
2024-03-21,145,146,True,True,True,True,,False,False,
2024-03-22,146,147,True,True,True,True,,False,False,
2024-03-23,147,148,True,True,True,True,,False,False,
2024-03-24,148,149,True,True,True,True,,False,False,
2024-03-25,149,150,True,True,True,True,,False,False,
2024-03-26,150,151,True,True,True,True,,False,False,
2024-03-27,151,152,True,True,True,True,,False,False,
2024-03-28,152,153,True,True,True,True,,False,False,
2024-03-29,153,154,True,True,True,True,,False,False,
2024-03-30,154,155,True,True,True,True,,False,False,
2024-03-31,155,156,True,True,True,True,,False,False,
2024-04-01,156,157,True,True,True,True,,False,False,
2024-04-02,157,158,True,True,True,True,,False,False,
2024-04-03,158,159,True,True,True,True,,False,False,
2024-04-04,159,160,True,True,True,True,,False,False,
2024-04-05,160,161,True,True,True,True,,False,False,
2024-04-06,161,162,True,True,True,True,,False,False,
2024-04-07,162,163,True,True,True,True,,False,False,
2024-04-08,163,164,True,True,True,True,,False,False,
2024-04-09,164,165,True,True,True,True,,False,False,
2024-04-10,165,166,True,True,True,True,,False,False,
2024-04-11,166,167,True,True,True,True,,False,False,
2024-04-12,167,168,True,True,True,True,,False,False,
2024-04-13,168,169,True,True,True,True,,False,False,
2024-04-14,169,170,True,True,True,True,,False,False,
2024-04-15,170,171,True,True,True,True,,False,False,
2024-04-16,171,172,True,True,True,True,,False,False,
2024-04-17,172,173,True,True,True,True,,False,False,
2024-04-18,173,174,True,True,True,True,,False,False,
2024-04-19,174,175,True,True,True,True,,False,False,
2024-04-20,175,176,True,True,True,True,,False,False,
2024-04-21,176,177,True,True,True,True,,False,False,
2024-04-22,177,178,True,True,True,True,,False,False,
2024-04-23,178,179,True,True,True,True,,False,False,
2024-04-24,179,180,True,True,True,True,,False,False,
2024-04-25,180,181,True,True,True,True,,False,False,
2024-04-26,181,182,True,True,True,True,,False,False,
2024-04-27,182,183,True,True,True,True,,False,False,
2024-04-28,183,184,True,True,True,True,,False,False,
2024-04-29,184,185,True,True,True,True,,False,False,
2024-04-30,185,186,True,True,True,True,,False,False,
2024-05-01,186,187,True,True,True,True,,False,False,
2024-05-02,187,188,True,True,True,True,,False,False,
2024-05-03,188,189,True,True,True,True,,False,False,
2024-05-04,189,190,True,True,True,True,,False,False,
2024-05-05,190,191,True,True,True,True,,False,False,
2024-05-06,191,192,True,True,True,True,,False,False,
2024-05-07,192,193,True,True,True,True,,False,False,
2024-05-08,193,194,True,True,True,True,,False,False,
2024-05-09,194,195,True,True,True,True,,False,False,
2024-05-10,195,196,True,True,True,True,,False,False,
2024-05-11,196,197,True,True,True,True,,False,False,
2024-05-12,197,198,True,True,True,True,,False,False,
2024-05-13,198,199,True,True,True,True,,False,False,
2024-05-14,199,200,True,True,True,True,,False,False,
2024-05-15,200,201,True,True,True,True,,False,False,
2024-05-16,201,202,True,True,True,True,,False,False,
2024-05-17,202,203,True,True,True,True,,False,False,
2024-05-18,203,204,True,True,True,True,,False,False,
2024-05-19,204,205,True,True,True,True,,False,False,
2024-05-20,205,206,True,True,True,True,,False,False,
2024-05-21,206,207,True,True,True,True,,False,False,
2024-05-22,207,208,True,True,True,True,,False,False,
2024-05-23,208,209,True,True,True,True,,False,False,
2024-05-24,209,210,True,True,True,True,,False,False,
2024-05-25,210,211,True,True,True,True,,False,False,
2024-05-26,211,212,True,True,True,True,,False,False,
2024-05-27,212,213,True,True,True,True,,False,False,
2024-05-28,213,214,True,True,True,True,,False,False,
2024-05-29,214,215,True,True,True,True,,False,False,
2024-05-30,215,216,True,True,True,True,,False,False,
2024-05-31,216,217,True,True,True,True,,False,False,
2024-06-01,217,218,True,True,True,True,,False,False,
2024-06-02,218,219,True,True,True,True,,False,False,
2024-06-03,219,220,True,True,True,True,,False,False,
2024-06-04,220,221,True,True,True,True,,False,False,
2024-06-05,221,222,True,True,True,True,,False,False,
2024-06-06,222,223,True,True,True,True,,False,False,
2024-06-07,223,224,True,True,True,True,,False,False,
2024-06-08,224,225,True,True,True,True,,False,False,
2024-06-09,225,226,True,True,True,True,,False,False,
2024-06-10,226,227,True,True,True,True,,False,False,
2024-06-11,227,228,True,True,True,True,,False,False,
2024-06-12,228,229,True,True,True,True,,False,False,
2024-06-13,229,230,True,True,True,True,,False,False,
2024-06-14,230,231,True,True,True,True,,False,False,
2024-06-15,231,232,True,True,True,True,,False,False,
2024-06-16,232,233,True,True,True,True,,False,False,
2024-06-17,233,234,True,True,True,True,,False,False,
2024-06-18,234,235,True,True,True,True,,False,False,
2024-06-19,235,236,True,True,True,True,,False,False,
2024-06-20,236,237,True,True,True,True,,False,False,
2024-06-21,237,238,True,True,True,True,,False,False,
2024-06-22,238,239,True,True,True,True,,False,False,
2024-06-23,239,240,True,True,True,True,,False,False,
2024-06-24,240,241,True,True,True,True,,False,False,
2024-06-25,241,242,True,True,True,True,,False,False,
2024-06-26,242,243,True,True,True,True,,False,False,
2024-06-27,243,244,True,True,True,True,,False,False,
2024-06-28,244,245,True,True,True,True,,False,False,
2024-06-29,245,246,True,True,True,True,,False,False,
2024-06-30,246,247,True,True,True,True,,False,False,
2024-07-01,247,248,True,True,True,True,,False,False,
2024-07-02,248,249,True,True,True,True,,False,False,
2024-07-03,249,250,True,True,True,True,,False,False,
2024-07-04,250,251,True,True,True,True,,False,False,
2024-07-05,251,252,True,True,True,True,,False,False,
2024-07-06,252,253,True,True,True,True,,False,False,
2024-07-07,253,254,True,True,True,True,,False,False,
2024-07-08,254,255,True,True,True,True,,False,False,
2024-07-09,255,256,True,True,True,True,,False,False,
2024-07-10,256,257,True,True,True,True,,False,False,
2024-07-11,257,258,True,True,True,True,,False,False,
2024-07-12,258,259,True,True,True,True,,False,False,
2024-07-13,259,260,True,True,True,True,,False,False,
2024-07-14,260,261,True,True,True,True,,False,False,
2024-07-15,261,262,True,True,True,True,,False,False,
2024-07-16,262,263,True,True,True,True,,False,False,
2024-07-17,263,264,True,True,True,True,,False,False,
2024-07-18,264,265,True,True,True,True,,False,False,
2024-07-19,265,266,True,True,True,True,,False,False,
2024-07-20,266,267,True,True,True,True,,False,False,
2024-07-21,267,268,True,True,True,True,,False,False,
2024-07-22,268,269,True,True,True,True,,False,False,
2024-07-23,269,270,True,True,True,True,,False,False,
2024-07-24,270,271,True,True,True,True,,False,False,
2024-07-25,271,272,True,True,True,True,,False,False,
2024-07-26,272,273,True,True,True,True,,False,False,
2024-07-27,273,274,True,True,True,True,,False,False,
2024-07-28,274,275,True,True,True,True,,False,False,
2024-07-29,275,276,True,True,True,True,,False,False,
2024-07-30,276,277,True,True,True,True,,False,False,
2024-07-31,277,278,True,True,True,True,,False,False,
2024-08-01,278,279,True,True,True,True,,False,False,
2024-08-02,279,280,True,True,True,True,,False,False,
2024-08-03,280,281,True,True,True,True,,False,False,
2024-08-04,281,282,True,True,True,True,,False,False,
2024-08-05,282,283,True,True,True,True,,False,False,
2024-08-06,283,284,True,True,True,True,,False,False,
2024-08-07,284,285,True,True,True,True,,False,False,
2024-08-08,285,286,True,True,True,True,,False,False,
2024-08-09,286,287,True,True,True,True,,False,False,
2024-08-10,287,288,True,True,True,True,,False,False,
2024-08-11,288,289,True,True,True,True,,False,False,
2024-08-12,289,290,True,True,True,True,,False,False,
2024-08-13,290,291,True,True,True,True,,False,False,
2024-08-14,291,292,True,True,True,True,,False,False,
2024-08-15,292,293,True,True,True,True,,False,False,
2024-08-16,293,294,True,True,True,True,,False,False,
2024-08-17,294,295,True,True,True,True,,False,False,
2024-08-18,295,296,True,True,True,True,,False,False,
2024-08-19,296,297,True,True,True,True,,False,False,
2024-08-20,297,298,True,True,True,True,,False,False,
2024-08-21,298,299,True,True,True,True,,False,False,
2024-08-22,299,300,True,True,True,True,,False,False,
2024-08-23,300,301,True,True,True,True,,False,False,
2024-08-24,301,302,True,True,True,True,,False,False,
2024-08-25,302,303,True,True,True,True,,False,False,
2024-08-26,303,304,True,True,True,True,,False,False,
2024-08-27,304,305,True,True,True,True,,False,False,
2024-08-28,305,306,True,True,True,True,,False,False,
2024-08-29,306,307,True,True,True,True,,False,False,
2024-08-30,307,308,True,True,True,True,,False,False,
2024-08-31,308,309,True,True,True,True,,False,False,
2024-09-01,309,310,True,True,True,True,,False,False,
2024-09-02,310,311,True,True,True,True,,False,False,
2024-09-03,311,312,True,True,True,True,,False,False,
2024-09-04,312,313,True,True,True,True,,False,False,
2024-09-05,313,314,True,True,True,True,,False,False,
2024-09-06,314,315,True,True,True,True,,False,False,
2024-09-07,315,316,True,True,True,True,,False,False,
2024-09-08,316,317,True,True,True,True,,False,False,
2024-09-09,317,318,True,True,True,True,,False,False,
2024-09-10,318,319,True,True,True,True,,False,False,
2024-09-11,319,320,True,True,True,True,,False,False,
2024-09-12,320,321,True,True,True,True,,False,False,
2024-09-13,321,322,True,True,True,True,,False,False,
2024-09-14,322,323,True,True,True,True,,False,False,
2024-09-15,323,324,True,True,True,True,,False,False,
2024-09-16,324,325,True,True,True,True,,False,False,
2024-09-17,325,326,True,True,True,True,,False,False,
2024-09-18,326,327,True,True,True,True,,False,False,
2024-09-19,327,328,True,True,True,True,,False,False,
2024-09-20,328,329,True,True,True,True,,False,False,
2024-09-21,329,330,True,True,True,True,,False,False,
2024-09-22,330,331,True,True,True,True,,False,False,
2024-09-23,331,332,True,True,True,True,,False,False,
2024-09-24,332,333,True,True,True,True,,False,False,
2024-09-25,333,334,True,True,True,True,,False,False,
2024-09-26,334,335,True,True,True,True,,False,False,
2024-09-27,335,336,True,True,True,True,,False,False,
2024-09-28,336,337,True,True,True,True,,False,False,
2024-09-29,337,338,True,True,True,True,,False,False,
2024-09-30,338,339,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20240930_HResNew.nc,False,False,
2024-10-01,339,340,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241001_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_1.nc
2024-10-02,340,341,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241002_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241001\02-10-2024_predModel_1.nc
2024-10-03,341,342,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241003_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241002\03-10-2024_predModel_1.nc
2024-10-04,342,343,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241004_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241003\04-10-2024_predModel_1.nc
2024-10-05,343,344,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241005_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_1.nc
2024-10-06,344,345,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241006_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_1.nc
2024-10-07,345,346,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241007_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_1.nc
2024-10-08,346,347,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241008_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241007\08-10-2024_predModel_1.nc
2024-10-09,347,348,True,True,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241009_HResNew.nc,True,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241008\09-10-2024_predModel_1.nc
