date,day_index_370,step00_time_index,class_id,class_label,priority_rank,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2023-12-01,35,34,1,C01,46,2023-11-30,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-01\python_dss_predModel_1_100real.nc,False,pending
2023-12-07,41,40,1,C01,58,2023-12-06,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-07\python_dss_predModel_1_100real.nc,False,pending
2023-12-08,42,41,1,C01,55,2023-12-07,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-08\python_dss_predModel_1_100real.nc,False,pending
2023-12-09,43,42,1,C01,79,2023-12-08,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-09\python_dss_predModel_1_100real.nc,False,pending
2023-12-10,44,43,1,C01,91,2023-12-09,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-10\python_dss_predModel_1_100real.nc,False,pending
2024-05-10,196,195,1,C01,32,2024-05-09,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-10\python_dss_predModel_1_100real.nc,False,pending
2024-05-11,197,196,1,C01,47,2024-05-10,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-11\python_dss_predModel_1_100real.nc,False,pending
2024-06-18,235,234,1,C01,3,2024-06-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-18\python_dss_predModel_1_100real.nc,False,pending
2024-06-19,236,235,1,C01,25,2024-06-18,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-19\python_dss_predModel_1_100real.nc,False,pending
2024-06-20,237,236,1,C01,9,2024-06-19,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-20\python_dss_predModel_1_100real.nc,False,pending
2024-06-26,243,242,1,C01,15,2024-06-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-26\python_dss_predModel_1_100real.nc,False,pending
2024-06-27,244,243,1,C01,7,2024-06-26,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-27\python_dss_predModel_1_100real.nc,False,pending
2024-06-29,246,245,1,C01,6,2024-06-28,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-06-29\python_dss_predModel_1_100real.nc,False,pending
2024-07-03,250,249,1,C01,1,2024-07-02,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-03\python_dss_predModel_1_100real.nc,False,pending
2024-07-04,251,250,1,C01,2,2024-07-03,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-04\python_dss_predModel_1_100real.nc,False,pending
2024-07-05,252,251,1,C01,4,2024-07-04,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-05\python_dss_predModel_1_100real.nc,False,pending
2024-07-06,253,252,1,C01,81,2024-07-05,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-06\python_dss_predModel_1_100real.nc,False,pending
2024-07-08,255,254,1,C01,29,2024-07-07,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-08\python_dss_predModel_1_100real.nc,False,pending
2024-07-09,256,255,1,C01,86,2024-07-08,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-09\python_dss_predModel_1_100real.nc,False,pending
2024-07-13,260,259,1,C01,105,2024-07-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-13\python_dss_predModel_1_100real.nc,False,pending
2024-07-22,269,268,1,C01,77,2024-07-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-22\python_dss_predModel_1_100real.nc,False,pending
2024-07-26,273,272,1,C01,5,2024-07-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-26\python_dss_predModel_1_100real.nc,False,pending
2024-07-27,274,273,1,C01,14,2024-07-26,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-07-27\python_dss_predModel_1_100real.nc,False,pending
