date,predModel_path,has_TEMPpred,has_STD,has_LAT,has_LON,has_BATHY,TEMPpred_shape,STD_shape,LAT_shape,LON_shape,BATHY_shape,std_slice0_all_zero,std_slice1_all_zero
2024-06-18,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-18\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-06-20,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-20\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-06-27,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-27\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-06-29,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-29\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",False,False
2024-07-03,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-03\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",False,False
2024-07-04,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-04\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-07-05,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-05\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-07-26,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-26\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-08-08,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-08\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
2024-08-24,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-24\python_dss_predModel_1_100real.nc,True,True,True,True,True,"[2, 180, 240]","[2, 180, 240]",[180],[240],"[180, 240]",True,False
