date,day_index_370,expected_class,class_label,predModel_path,selected_slice,roi_shape,valid_cells
2024-06-18,235,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-18\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-06-20,237,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-20\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-06-27,244,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-27\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-06-29,246,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-29\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-07-03,250,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-03\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-07-04,251,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-04\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-07-05,252,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-05\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-07-26,273,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-26\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-08-08,286,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-08\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-08-24,302,1,C01,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-24\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-16,50,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-16\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-17,51,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-17\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-18,52,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-18\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-19,53,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-19\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-21,55,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-21\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2023-12-22,56,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-22\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-05-22,208,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-22\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-05-26,212,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-26\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-06-12,229,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-12\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
2024-06-15,232,6,C06,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-15\python_dss_predModel_1_100real.nc,1,"[72, 117]",8004
