route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,17.985,110.0299
1,1,39.5753,-9.311505,120.553406,17.985,110.0299
1,2,39.57266,-9.324871,129.08961,17.985,110.0299
1,3,39.577934,-9.343584,154.38126,17.985,110.0299
1,4,39.57266,-9.354278,158.66121,17.985,110.0299
1,5,39.5964,-9.356951,317.86502,17.985,110.0299
1,6,39.61487,-9.335565,356.3693,17.985,110.0299
1,7,39.609592,-9.324871,292.04407,17.985,110.0299
1,8,39.60168,-9.316852,219.29213,17.985,110.0299
1,9,39.591125,-9.322198,181.4083,17.985,110.0299
1,10,39.580574,-9.295465,113.84578,17.985,110.0299
1,11,39.5744,-9.293381,110.0299,17.985,110.0299
