route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.349,48.055546
1,1,39.564743,-9.279426,102.51209,37.349,48.055546
1,2,39.5753,-9.252693,96.040825,37.349,48.055546
1,3,39.567383,-9.239327,85.86707,37.349,48.055546
1,4,39.57002,-9.223288,78.55451,37.349,48.055546
1,5,39.567383,-9.209921,68.9006,37.349,48.055546
1,6,39.5753,-9.201901,69.02479,37.349,48.055546
1,7,39.55683,-9.188536,48.055546,37.349,48.055546
1,8,39.567383,-9.183188,53.03211,37.349,48.055546
1,9,39.577934,-9.188536,63.725464,37.349,48.055546
1,10,39.58585,-9.177842,68.016525,37.349,48.055546
1,11,39.580574,-9.161802,53.926895,37.349,48.055546
1,12,39.593765,-9.16715,80.05667,37.349,48.055546
1,13,39.59904,-9.177842,89.70788,37.349,48.055546
1,14,39.609592,-9.172496,109.15149,37.349,48.055546
1,15,39.620148,-9.172496,128.73962,37.349,48.055546
1,16,39.625423,-9.183188,140.93823,37.349,48.055546
1,17,39.61487,-9.183188,116.61913,37.349,48.055546
1,18,39.609592,-9.196555,100.74454,37.349,48.055546
1,19,39.60168,-9.204575,93.01503,37.349,48.055546
1,20,39.593765,-9.215268,88.78029,37.349,48.055546
1,21,39.58321,-9.220614,84.15347,37.349,48.055546
1,22,39.580574,-9.23398,89.39218,37.349,48.055546
1,23,39.591125,-9.239327,98.53941,37.349,48.055546
1,24,39.5964,-9.25002,108.01362,37.349,48.055546
1,25,39.58585,-9.258039,104.28802,37.349,48.055546
1,26,39.5753,-9.279426,106.43576,37.349,48.055546
1,27,39.5731,-9.290537,110.0299,37.349,48.055546
2,0,39.5753,-9.292792,110.99918,37.009,105.57433
2,1,39.593765,-9.295465,143.43666,37.009,105.57433
2,2,39.604317,-9.292792,165.96701,37.009,105.57433
2,3,39.62806,-9.279426,267.637,37.009,105.57433
2,4,39.638615,-9.26606,303.27014,37.009,105.57433
2,5,39.651806,-9.258039,319.88486,37.009,105.57433
2,6,39.64125,-9.244674,265.4676,37.009,105.57433
2,7,39.646526,-9.231307,262.18094,37.009,105.57433
2,8,39.64125,-9.220614,213.70438,37.009,105.57433
2,9,39.651806,-9.217941,262.07428,37.009,105.57433
2,10,39.64389,-9.204575,204.68958,37.009,105.57433
2,11,39.651806,-9.188536,194.72261,37.009,105.57433
2,12,39.649166,-9.175169,167.75098,37.009,105.57433
2,13,39.638615,-9.172496,161.98956,37.009,105.57433
2,14,39.638615,-9.191209,176.97609,37.009,105.57433
2,15,39.617508,-9.204575,123.13647,37.009,105.57433
2,16,39.62806,-9.212595,158.7179,37.009,105.57433
2,17,39.612232,-9.220614,107.01711,37.009,105.57433
2,18,39.620148,-9.228634,143.55235,37.009,105.57433
2,19,39.606956,-9.236654,107.169945,37.009,105.57433
2,20,39.609592,-9.25002,117.39076,37.009,105.57433
2,21,39.591125,-9.271406,117.41994,37.009,105.57433
2,22,39.58849,-9.284773,122.483955,37.009,105.57433
2,23,39.57693,-9.291801,110.99918,37.009,105.57433
