route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.641,94.84418
1,1,39.567383,-9.303485,111.76999,37.641,94.84418
1,2,39.580574,-9.308832,120.84726,37.641,94.84418
1,3,39.5753,-9.319525,127.05723,37.641,94.84418
1,4,39.58321,-9.330218,147.87352,37.641,94.84418
1,5,39.58321,-9.343584,167.05566,37.641,94.84418
1,6,39.5964,-9.343584,274.3446,37.641,94.84418
1,7,39.604317,-9.335565,304.19208,37.641,94.84418
1,8,39.609592,-9.34893,408.3902,37.641,94.84418
1,9,39.6307,-9.3516035,470.64255,37.641,94.84418
1,10,39.635975,-9.362297,533.78265,37.641,94.84418
1,11,39.63334,-9.375663,594.45416,37.641,94.84418
1,12,39.622784,-9.38101,601.66943,37.641,94.84418
1,13,39.612232,-9.38101,582.49646,37.641,94.84418
1,14,39.606956,-9.3703165,489.22522,37.641,94.84418
1,15,39.5964,-9.37299,391.36273,37.641,94.84418
1,16,39.593765,-9.356951,291.73297,37.641,94.84418
1,17,39.58321,-9.356951,187.20485,37.641,94.84418
1,18,39.57266,-9.362297,173.20686,37.641,94.84418
1,19,39.55683,-9.338238,121.324066,37.641,94.84418
1,20,39.546276,-9.332891,111.002716,37.641,94.84418
1,21,39.548916,-9.319525,108.34841,37.641,94.84418
1,22,39.541,-9.308832,100.00999,37.641,94.84418
1,23,39.55683,-9.292792,104.214195,37.641,94.84418
1,24,39.54364,-9.290119,94.84418,37.641,94.84418
1,25,39.55419,-9.276752,97.46962,37.641,94.84418
1,26,39.564743,-9.279426,102.51209,37.641,94.84418
1,27,39.571564,-9.290943,110.0299,37.641,94.84418
2,0,39.5753,-9.292792,110.99918,37.287,105.51094
2,1,39.591125,-9.284773,127.53216,37.287,105.51094
2,2,39.591125,-9.298139,138.9977,37.287,105.51094
2,3,39.60168,-9.306158,182.29196,37.287,105.51094
2,4,39.606956,-9.295465,177.09703,37.287,105.51094
2,5,39.62806,-9.279426,267.637,37.287,105.51094
2,6,39.638615,-9.287446,336.755,37.287,105.51094
2,7,39.646526,-9.279426,321.839,37.287,105.51094
2,8,39.64125,-9.268733,311.42307,37.287,105.51094
2,9,39.6307,-9.263387,253.21231,37.287,105.51094
2,10,39.62806,-9.25002,211.38583,37.287,105.51094
2,11,39.64125,-9.247347,271.31757,37.287,105.51094
2,12,39.646526,-9.236654,272.85654,37.287,105.51094
2,13,39.65708,-9.239327,327.04785,37.287,105.51094
2,14,39.65708,-9.225961,305.48068,37.287,105.51094
2,15,39.649166,-9.217941,249.24768,37.287,105.51094
2,16,39.64389,-9.204575,204.68958,37.287,105.51094
2,17,39.638615,-9.215268,195.8492,37.287,105.51094
2,18,39.638615,-9.228634,217.1299,37.287,105.51094
2,19,39.62806,-9.231307,179.3466,37.287,105.51094
2,20,39.620148,-9.239327,156.56822,37.287,105.51094
2,21,39.606956,-9.258039,123.92273,37.287,105.51094
2,22,39.620148,-9.260714,187.0221,37.287,105.51094
2,23,39.61487,-9.271406,171.21594,37.287,105.51094
2,24,39.60168,-9.279426,139.77101,37.287,105.51094
2,25,39.5964,-9.268733,122.22772,37.287,105.51094
2,26,39.58585,-9.271406,110.58156,37.287,105.51094
2,27,39.5753,-9.279426,106.43576,37.287,105.51094
2,28,39.5753,-9.290464,110.99918,37.287,105.51094
