run_id,strategy,case_id,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered,solver_status,solver_runtime,formulation,source,scope,run_dir,input_nc,std_weight,region_weight
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,169.19347381591797,244.61536407470703,0.056651814131126674,0.0,0.056651814131126674,0.0,0,1.0,8.528279072098648,0.5283259070655634,323,REUSED_STEP11Z,0.0,native 2-AUV shared STD; reused from Step11Z when available,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__baselin__0a48d873ac,multi_AUV_native_shared,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__baselin__0a48d873ac,,,
C06_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C06_representative,152.32659912109375,225.651123046875,0.04010184595798854,0.0,0.04010184595798854,0.0,0,1.0,7.933732090493905,0.5200509229789942,296,REUSED,0.0,native 2-AUV shared 0.5*STD + 0.5*prototype_boundary,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__prototy__ff4ce28e41,multi_AUV_native_shared,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__prototy__ff4ce28e41,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__prototy__ff4ce28e41.nc,,
C06_representative__multi_auv_12h__vehicle_specific_conservative,vehicle_specific_conservative,C06_representative,164.10923767089844,232.70929718017578,0.061107574793125397,0.0,0.061107574793125397,0.08098591549295775,23,0.0,4.073509821990964,0.4900608296500838,284,SUCCESS,0.0,proxy pair: AUV1=0.8*STD+0.2*region_A; AUV2=0.8*STD+0.2*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__5402996485; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__dc06fc15e3,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__5402996485; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__dc06fc15e3,,0.8,0.2
C06_representative__multi_auv_12h__vehicle_specific_balanced,vehicle_specific_balanced,C06_representative,128.4769744873047,162.29016876220703,0.049013367281986,0.03290826820238585,0.08192163548437184,0.003367003367003367,1,0.0,30.584481670260814,0.5392773160586842,297,SUCCESS,0.0,proxy pair: AUV1=0.7*STD+0.3*region_A; AUV2=0.7*STD+0.3*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__013efbfe5f; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__d4fb7de3ee,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__013efbfe5f; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\C06_representative__multi_auv_12h__vehicle__d4fb7de3ee,,0.7,0.3
C06_representative__multi_auv_12h__vehicle_specific_strong_regime,vehicle_specific_strong_regime,C06_representative,127.68012619018555,162.4287109375,0.023551877784850413,0.03414232825997532,0.05769420604482573,0.0033444816053511705,1,0.0,27.311148173302534,0.5271748622197373,299,SUCCESS,0.0,proxy pair: AUV1=0.6*STD+0.4*region_A; AUV2=0.6*STD+0.4*region_B,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__prototy__06cd72ee29; results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__prototy__e0243ee7ff,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__prototy__06cd72ee29; results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__prototy__e0243ee7ff,,0.6,0.4
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,181.98470306396484,0.0,0.03935532233883059,0.03935532233883059,0.07871064467766117,0.022222222222222223,7,0.0,12.582840696932426,0.5282442112277195,315,REUSED_STEP11Z,0.0,native 2-AUV shared STD; reused from Step11Z when available,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\October_control__multi_auv_12h__baseline_S__1a0b822f0e,multi_AUV_native_shared,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\October_control__multi_auv_12h__baseline_S__1a0b822f0e,,,
October_control__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,October_control,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.5,0,REUSED_FAILED,0.0,native 2-AUV shared 0.5*STD + 0.5*prototype_boundary,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__prototype__b9dae5a289,multi_AUV_native_shared,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__prototype__b9dae5a289,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__prototype__b9dae5a289.nc,,
October_control__multi_auv_12h__vehicle_specific_conservative,vehicle_specific_conservative,October_control,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.0384807596201899,1.0,154,0.0,0.0,0.01924037981009495,154,SUCCESS,0.0,proxy pair: AUV1=0.8*STD+0.2*region_A; AUV2=0.8*STD+0.2*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__64ef7d4427; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__3c98b0c523,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__64ef7d4427; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__3c98b0c523,,0.8,0.2
October_control__multi_auv_12h__vehicle_specific_balanced,vehicle_specific_balanced,October_control,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.0384807596201899,1.0,154,0.0,0.0,0.01924037981009495,154,SUCCESS,0.0,proxy pair: AUV1=0.7*STD+0.3*region_A; AUV2=0.7*STD+0.3*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__9f0565e985; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__3f409dd0bf,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__9f0565e985; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__3f409dd0bf,,0.7,0.3
October_control__multi_auv_12h__vehicle_specific_strong_regime,vehicle_specific_strong_regime,October_control,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.0384807596201899,1.0,154,0.0,0.0,0.01924037981009495,154,SUCCESS,0.0,proxy pair: AUV1=0.6*STD+0.4*region_A; AUV2=0.6*STD+0.4*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__2edaa7a429; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__00b87740fc,multi_AUV_vehicle_specific_proxy,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__2edaa7a429; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_runs\October_control__multi_auv_12h__vehicle_sp__00b87740fc,,0.6,0.4
