run_id,command,returncode,runtime_s,status,error,input_nc
C06_representative__multi_auv_12h__prototype_boundary_alpha050,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__prototy__ff4ce28e41.nc
C06_representative__multi_auv_12h__vehicle_specific_conservative__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__vehicle__5402996485.nc
C06_representative__multi_auv_12h__vehicle_specific_conservative__AUV2,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__vehicle__dc06fc15e3.nc
C06_representative__multi_auv_12h__vehicle_specific_balanced__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__vehicle__013efbfe5f.nc
C06_representative__multi_auv_12h__vehicle_specific_balanced__AUV2,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\C06_representative__multi_auv_12h__vehicle__d4fb7de3ee.nc
October_control__multi_auv_12h__prototype_boundary_alpha050,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__prototype__b9dae5a289.nc
October_control__multi_auv_12h__vehicle_specific_conservative__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__64ef7d4427.nc
October_control__multi_auv_12h__vehicle_specific_conservative__AUV2,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__3c98b0c523.nc
October_control__multi_auv_12h__vehicle_specific_balanced__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__9f0565e985.nc
October_control__multi_auv_12h__vehicle_specific_balanced__AUV2,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__3f409dd0bf.nc
October_control__multi_auv_12h__vehicle_specific_strong_regime__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__2edaa7a429.nc
October_control__multi_auv_12h__vehicle_specific_strong_regime__AUV2,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260608_124438\planner_inputs\October_control__multi_auv_12h__vehicle_sp__00b87740fc.nc
