run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,1,REUSED_STEP11Z,84.04706573486328,121.75869750976562,55.0,0.0,0.3395061790943146,0.0,0.0,0,1,36.48,10.5,162
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,2,REUSED_STEP11Z,85.14640808105469,122.8566665649414,34.0,0.0,0.21118012070655823,0.0,0.21739129722118378,0,1,37.051,10.7,161
C06_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C06_representative,1,REUSED,73.76727294921875,109.33929443359375,45.0,0.0,0.30821916460990906,0.0,0.0,0,1,36.304,10.483333333333333,146
C06_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C06_representative,2,REUSED,78.559326171875,116.31182861328125,18.0,0.0,0.11999999731779099,0.0,0.30666667222976685,0,1,37.513,10.75,150
C06_representative__multi_auv_12h__vehicle_specific_conservative__AUV1,vehicle_specific_conservative,C06_representative,1,REUSED,78.46794891357422,112.10928344726562,77.0,0.0,0.5133333206176758,0.0,0.0,0,1,35.967,10.333333333333334,150
C06_representative__multi_auv_12h__vehicle_specific_conservative__AUV2,vehicle_specific_conservative,C06_representative,2,REUSED,85.64128875732422,120.60001373291016,26.0,0.0,0.1656050980091095,0.0,0.2229299396276474,0,1,36.921,10.683333333333334,157
C06_representative__multi_auv_12h__vehicle_specific_balanced__AUV1,vehicle_specific_balanced,C06_representative,1,REUSED,79.52159118652344,113.21941375732422,77.0,0.0,0.5065789222717285,0.0,0.0,0,1,36.367,10.433333333333334,152
C06_representative__multi_auv_12h__vehicle_specific_balanced__AUV2,vehicle_specific_balanced,C06_representative,2,REUSED,48.95538330078125,49.07075500488281,0.0,80.0,0.0,0.5479452013969421,0.0,0,1,36.681,10.55,146
C06_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV1,vehicle_specific_strong_regime,C06_representative,1,REUSED_STEP11Z,81.91842651367188,114.21739196777344,37.0,0.0,0.24183006584644318,0.0,0.09150326997041702,0,1,36.821,10.65,153
C06_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV2,vehicle_specific_strong_regime,C06_representative,2,REUSED_STEP11Z,45.76169967651367,48.21131896972656,0.0,83.0,0.0,0.5646258592605591,0.0,0,1,37.034,10.666666666666666,147
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,1,REUSED_STEP11Z,91.37213134765625,0.0,163.0,163.0,1.0,1.0,1.0,0,2,37.974,10.883333333333333,163
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,2,REUSED_STEP11Z,90.6125717163086,0.0,159.0,159.0,1.0,1.0,1.0,0,2,39.091,11.283333333333333,159
October_control__multi_auv_12h__vehicle_specific_conservative__AUV1,vehicle_specific_conservative,October_control,1,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__multi_auv_12h__vehicle_specific_conservative__AUV2,vehicle_specific_conservative,October_control,2,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__multi_auv_12h__vehicle_specific_balanced__AUV1,vehicle_specific_balanced,October_control,1,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__multi_auv_12h__vehicle_specific_balanced__AUV2,vehicle_specific_balanced,October_control,2,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__multi_auv_12h__vehicle_specific_strong_regime__AUV1,vehicle_specific_strong_regime,October_control,1,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__multi_auv_12h__vehicle_specific_strong_regime__AUV2,vehicle_specific_strong_regime,October_control,2,REUSED,88.59339141845703,0.0,154.0,154.0,1.0,1.0,1.0,0,2,37.587,10.85,154
