route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,38.432,89.46025
1,1,39.5753,-9.300812,113.737236,38.432,89.46025
1,2,39.58585,-9.295465,123.24043,38.432,89.46025
1,3,39.593765,-9.287446,135.29443,38.432,89.46025
1,4,39.5964,-9.274079,126.288895,38.432,89.46025
1,5,39.606956,-9.276752,143.53998,38.432,89.46025
1,6,39.61487,-9.26606,163.9713,38.432,89.46025
1,7,39.62806,-9.263387,237.73509,38.432,89.46025
1,8,39.638615,-9.258039,284.64017,38.432,89.46025
1,9,39.63334,-9.247347,233.47968,38.432,89.46025
1,10,39.64389,-9.247347,282.76266,38.432,89.46025
1,11,39.65444,-9.252693,329.83185,38.432,89.46025
1,12,39.670273,-9.25002,348.42352,38.432,89.46025
1,13,39.662357,-9.242001,355.27585,38.432,89.46025
1,14,39.651806,-9.239327,302.6211,38.432,89.46025
1,15,39.64389,-9.231307,249.19928,38.432,89.46025
1,16,39.63334,-9.225961,190.22694,38.432,89.46025
1,17,39.62806,-9.236654,188.43768,38.432,89.46025
1,18,39.617508,-9.23398,138.78299,38.432,89.46025
1,19,39.593765,-9.239327,100.243774,38.432,89.46025
1,20,39.58585,-9.228634,89.720985,38.432,89.46025
1,21,39.577934,-9.239327,90.81494,38.432,89.46025
1,22,39.580574,-9.26606,103.39874,38.432,89.46025
1,23,39.57266,-9.274079,103.45829,38.432,89.46025
1,24,39.562107,-9.274079,99.45663,38.432,89.46025
1,25,39.548916,-9.279426,94.61061,38.432,89.46025
1,26,39.54364,-9.290119,94.84418,38.432,89.46025
1,27,39.55419,-9.295465,104.030846,38.432,89.46025
1,28,39.562107,-9.303485,109.85004,38.432,89.46025
1,29,39.57002,-9.290119,108.14328,38.432,89.46025
1,30,39.571243,-9.291357,110.0299,38.432,89.46025
