run_id,strategy,case_id,fleet_collected_STD,fleet_collected_boundary,inter_vehicle_min_distance,inter_vehicle_mean_distance,trajectory_overlap_ratio,duplicate_sampled_cells,shared_top10_cells,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,fleet_total_area_covered,fleet_complementarity_score,proximity_penalty,increase_region_coverage,decrease_overlap,change_in_STD_collected,change_in_boundary_collected,solver_status,solver_runtime
C06_representative__2auv_12h__multi_baseline_STD,multi_baseline_STD,C06_representative,158.3267364501953,236.27835845947266,1.0,8.983500873530405,0.0,0,0,0.07542457542457542,0.0015,0.07692457542457543,308,0.5384622877122878,0.22527779861198108,0.0,0.0,0.0,0.0,REUSED_STEP11D,0.0
C06_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C06_representative,152.32659912109375,225.651123046875,1.0,7.933732090493905,0.0,0,0,0.07267732267732267,0.00125,0.07392732267732267,296,0.5369636613386614,0.25341748353031157,-0.0029972527472527516,0.0,-6.0001373291015625,-10.627235412597656,REUSED_STEP11D,0.0
C06_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C06_representative,137.6969223022461,199.36571502685547,0.0,16.745500392680494,0.026402640264026403,8,0,0.04195804195804196,0.03375,0.07570804195804196,303,0.5246527008470078,0.2070639902992125,-0.0012165334665334704,-0.026402640264026403,-20.62981414794922,-36.91264343261719,POST_SOLVER_PROXY,0.0
C06_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C06_representative,134.0903549194336,207.36898803710938,0.0,13.329880416476088,0.003205128205128205,1,0,0.044705294705294704,0.03325,0.0779552947052947,312,0.5373750832500832,0.14929847462346965,0.0010307192807192805,-0.003205128205128205,-24.23638153076172,-28.90937042236328,POST_SOLVER_PROXY,0.0
C06_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C06_representative,130.03914642333984,166.9812469482422,0.0,25.643517606481154,0.012987012987012988,4,0,0.03896103896103896,0.038,0.07696103896103895,308,0.531987012987013,0.10408243033646486,3.646353646352685e-05,-0.012987012987012988,-28.28759002685547,-69.29711151123047,POST_SOLVER_PROXY,0.0
C06_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C06_representative,142.36058807373047,204.8105010986328,0.0,19.033825793256103,0.0031645569620253164,1,0,0.04595404595404595,0.033,0.07895404595404595,316,0.5378947444960103,0.11678348919679093,0.0020294705294705284,-0.0031645569620253164,-15.966148376464844,-31.467857360839844,POST_SOLVER_PROXY,0.0
October_reference__2auv_12h__multi_baseline_STD,multi_baseline_STD,October_control,184.50804138183594,59.12006759643555,0.0,14.614668372137814,0.018867924528301886,6,0,0.00399800099950025,0.07546226886556721,0.07946026986506746,318,0.5302961726683828,0.1819532875847857,0.0,0.0,0.0,0.0,REUSED_STEP11D,0.0
October_reference__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,October_control,100.916748046875,213.7988739013672,1.0,8.907874096216942,0.0,0,0,0.0792103948025987,0.0004997501249375312,0.07971014492753623,319,0.5398550724637681,0.26153557219010315,0.0002498750624687629,0.018867924528301886,-83.59129333496094,154.67880630493164,REUSED_STEP11D,0.0
October_reference__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,October_control,162.2012710571289,96.46345329284668,0.0,13.460374774565517,0.0031746031746031746,1,0,0.03798100949525238,0.0407296351824088,0.07871064467766117,315,0.537768020751529,0.17981063026945307,-0.0007496251874062887,0.015693321353698712,-22.30677032470703,37.34338569641113,POST_SOLVER_PROXY,0.0
October_reference__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,October_control,161.90924072265625,96.69803428649902,0.0,19.1309211863505,0.015873015873015872,5,0,0.037481259370314844,0.04122938530734633,0.07871064467766117,315,0.5314188144023226,0.15181676583577416,-0.0007496251874062887,0.002994908655286014,-22.598800659179688,37.57796669006348,POST_SOLVER_PROXY,0.0
October_reference__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,October_control,154.9782943725586,90.78389739990234,0.0,14.03980241214098,0.0032679738562091504,1,0,0.03673163418290855,0.03973013493253373,0.07646176911544228,306,0.5365968976296166,0.14050884069836536,-0.0029985007496251825,0.015599950672092735,-29.529747009277344,31.663829803466797,POST_SOLVER_PROXY,0.0
October_reference__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,October_control,162.2012710571289,96.46345329284668,0.0,17.88436987225439,0.0031746031746031746,1,0,0.03798100949525238,0.0407296351824088,0.07871064467766117,315,0.537768020751529,0.13769252112190172,-0.0007496251874062887,0.015693321353698712,-22.30677032470703,37.34338569641113,POST_SOLVER_PROXY,0.0
