run_id,strategy,case_id,inter_vehicle_min_distance,inter_vehicle_mean_distance,trajectory_overlap_ratio,duplicate_sampled_cells,shared_top10_cells,decrease_overlap
C06_representative__2auv_12h__multi_baseline_STD,multi_baseline_STD,C06_representative,1.0,8.983500873530405,0.0,0,0,0.0
C06_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C06_representative,1.0,7.933732090493905,0.0,0,0,0.0
C06_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C06_representative,0.0,16.745500392680494,0.026402640264026403,8,0,-0.026402640264026403
C06_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C06_representative,0.0,13.329880416476088,0.003205128205128205,1,0,-0.003205128205128205
C06_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C06_representative,0.0,25.643517606481154,0.012987012987012988,4,0,-0.012987012987012988
C06_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C06_representative,0.0,19.033825793256103,0.0031645569620253164,1,0,-0.0031645569620253164
October_reference__2auv_12h__multi_baseline_STD,multi_baseline_STD,October_control,0.0,14.614668372137814,0.018867924528301886,6,0,0.0
October_reference__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,October_control,1.0,8.907874096216942,0.0,0,0,0.018867924528301886
October_reference__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,October_control,0.0,13.460374774565517,0.0031746031746031746,1,0,0.015693321353698712
October_reference__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,October_control,0.0,19.1309211863505,0.015873015873015872,5,0,0.002994908655286014
October_reference__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,October_control,0.0,14.03980241214098,0.0032679738562091504,1,0,0.015599950672092735
October_reference__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,October_control,0.0,17.88436987225439,0.0031746031746031746,1,0,0.015693321353698712
