step,output_path,figure_name,script_source,plotting_function,background_map_name,background_map_source_file,background_map_shape,trajectory_source_file,trajectory_run_names,coordinate_system_detected,extent_used,origin_used,likely_issue,interpretation
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_all_cases_summary_panel.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_C01_representative_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_C06_representative_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_collected_scores_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_metric_panels / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary figure.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_October_control_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_October_reference_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,figures/step11a_solver_runtime_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_metric_panels / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary figure.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C01_representative__baseline_STD/plots/20260520T093931Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C01_representative__enriched_boundary_alpha025/plots/20260520T094422Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C01_representative__enriched_boundary_alpha050/plots/20260520T094824Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
