step,case_id,run_name,descriptor,alpha,planner_information_map_source,figure_background_source,map_used_equals_background,conclusion
Step11A,C06_representative,baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C06_representative__baseline_STD_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,C06_representative,enriched_boundary_alpha025,boundary_score_norm,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C06_representative__enriched_boundary_alpha025_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,C06_representative,enriched_boundary_alpha050,boundary_score_norm,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C06_representative__enriched_boundary_alpha050_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,C01_representative,baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C01_representative__baseline_STD_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,C01_representative,enriched_boundary_alpha025,boundary_score_norm,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C01_representative__enriched_boundary_alpha025_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,C01_representative,enriched_boundary_alpha050,boundary_score_norm,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\C01_representative__enriched_boundary_alpha050_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,October_control,baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\October_control__baseline_STD_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,October_control,enriched_boundary_alpha025,boundary_score_norm,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\October_control__enriched_boundary_alpha025_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11A,October_control,enriched_boundary_alpha050,boundary_score_norm,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117\planner_inputs\October_control__enriched_boundary_alpha050_planner_interface.nc,overlay figures show TEMPpred/STD_norm/boundary diagnostic panels,partial,"Planner used STD or STD+boundary as manifest says; figures are multi-background diagnostics, not a single objective panel."
Step11B,C01_representative,C01_representative__baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,partial,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__boundary_alpha025,boundary,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
