output_path,descriptor,tested_alpha_values,planner_used_descriptor,evidence,existing_figures_show,recommended_use
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,boundary,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,gradient,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,heterogeneity,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,interest,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,representative_zone,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,boundary,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,gradient,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,heterogeneity,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,interest,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,representative_zone,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,boundary,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,gradient,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,heterogeneity,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,interest,"0.25,0.5",True,step11b script builds information_map=(1-alpha)*STD_norm+alpha*descriptor_norm; saved NPZ present,"descriptor panel and STD/descriptor backgrounds, not always actual blended information_map",diagnostic; use regenerated information_map figure for thesis objective explanation
