run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells,candidate_name,source_run_dir,source_output,source_output_path,step
C01_representative__candidate__baseline_STD,candidate_baseline_STD,C01_representative,1,REUSED_STEP11C,97.4887466430664,125.01278686523438,161.0,0.0,1.0,0.0,0.0,0,1,37.356,10.783333333333331,161,baseline_STD,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__boundary_alpha050,candidate_boundary_alpha050,C01_representative,1,REUSED_STEP11C,96.48713684082033,139.68409729003906,140.0,26.0,0.8433734774589539,0.1566265076398849,0.0361445769667625,6,2,38.229,11.05,166,boundary_alpha050,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__boundary_alpha050,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__crossing_gamma025,candidate_crossing_gamma025,C01_representative,1,REUSED_STEP11C,94.11848449707033,142.18063354492188,135.0,29.0,0.8231707215309143,0.1768292635679245,0.0243902429938316,10,2,38.287,11.05,164,crossing_gamma025,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__crossing_gamma025,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__region_A,candidate_region_A,C01_representative,1,REUSED_STEP11D,96.14266967773438,126.27000427246094,156.0,2.0,0.9873417615890504,0.0126582281664013,0.0379746817052364,4,2,37.214,10.8,158,region_A,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__candidate_region_A,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__region_B,candidate_region_B,C01_representative,1,REUSED_STEP11D,87.80000305175781,93.21925354003906,32.0,124.0,0.2051282078027725,0.7948718070983887,0.0,6,2,37.452,10.8,156,region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__candidate_region_B,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__region_A_with_crossing,candidate_region_A_with_crossing,C01_representative,1,SUCCESS,88.82284545898438,125.28518676757812,146.0,3.0,0.979865789413452,0.0201342273503541,0.0402684547007083,6,2,37.899,10.933333333333334,149,region_A_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__d1ce4e5339,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__region_B_with_crossing,candidate_region_B_with_crossing,C01_representative,1,SUCCESS,85.55899047851562,100.72903442382812,37.0,117.0,0.2402597367763519,0.7597402334213257,0.0,10,2,38.941,11.25,154,region_B_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__602a4e0b50,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C01_representative__candidate__region_B_sequential_penalized,candidate_region_B_sequential_penalized,C01_representative,1,SUCCESS,87.31613159179688,97.6146469116211,45.0,110.0,0.2903225719928741,0.7096773982048035,0.0,14,2,36.784,10.633333333333333,155,region_B_sequential_penalized,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__31b14503e7,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,Step11D
C06_representative__candidate__baseline_STD,candidate_baseline_STD,C06_representative,1,REUSED_STEP11C,84.7479248046875,120.92462158203124,159.0,1.0,0.993749976158142,0.0062500000931322,0.018750000745058,3,2,36.475,10.566666666666666,160,baseline_STD,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\C06_representative__1auv_12h__baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__boundary_alpha050,candidate_boundary_alpha050,C06_representative,1,REUSED_STEP11C,71.7470703125,112.69155883789062,142.0,3.0,0.9793103337287904,0.0206896550953388,0.3034482896327972,6,2,38.12,10.966666666666669,145,boundary_alpha050,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\C06_representative__1auv_12h__boundary_alpha050,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__crossing_gamma025,candidate_crossing_gamma025,C06_representative,1,REUSED_STEP11C,78.34056091308594,119.53223419189452,151.0,2.0,0.9869281053543092,0.0130718955770134,0.2026143819093704,3,2,38.058,10.95,153,crossing_gamma025,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\C06_representative__1auv_12h__crossing_gamma025,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_A,candidate_region_A,C06_representative,1,REUSED_STEP11D,80.08425903320312,115.4798355102539,149.0,5.0,0.9675324559211732,0.032467532902956,0.0909090936183929,9,2,36.564,10.55,154,region_A,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__3e6c32c843,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_B,candidate_region_B,C06_representative,1,REUSED_STEP11D,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__72f3669739,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_A_with_crossing,candidate_region_A_with_crossing,C06_representative,1,REUSED_STEP11D,76.47769165039062,123.4831085205078,154.0,2.0,0.9871794581413268,0.0128205129876732,0.4230769276618957,3,2,38.264,11.083333333333334,156,region_A_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__92175415e3,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_B_with_crossing,candidate_region_B_with_crossing,C06_representative,1,FALLBACK_TO_region_B,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,region_B_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__d5af02ac4e,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
