route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,36.767,87.24692
1,1,39.562107,-9.279426,101.53118,36.767,87.24692
1,2,39.562107,-9.263387,94.92799,36.767,87.24692
1,3,39.57266,-9.260714,98.11719,36.767,87.24692
1,4,39.58849,-9.239327,96.83506,36.767,87.24692
1,5,39.580574,-9.231307,88.06231,36.767,87.24692
1,6,39.60168,-9.207248,93.34261,36.767,87.24692
1,7,39.609592,-9.215268,99.87044,36.767,87.24692
1,8,39.617508,-9.204575,123.13647,36.767,87.24692
1,9,39.609592,-9.196555,100.74454,36.767,87.24692
1,10,39.61487,-9.183188,116.61913,36.767,87.24692
1,11,39.625423,-9.180515,140.34113,36.767,87.24692
1,12,39.62806,-9.196555,151.7635,36.767,87.24692
1,13,39.64125,-9.191209,181.56805,36.767,87.24692
1,14,39.64389,-9.204575,204.68958,36.767,87.24692
1,15,39.65444,-9.207248,246.26556,36.767,87.24692
1,16,39.649166,-9.217941,249.24768,36.767,87.24692
1,17,39.62806,-9.212595,158.7179,36.767,87.24692
1,18,39.6307,-9.225961,180.24123,36.767,87.24692
1,19,39.606956,-9.236654,107.169945,36.767,87.24692
1,20,39.5964,-9.25002,108.01362,36.767,87.24692
1,21,39.58585,-9.252693,101.77061,36.767,87.24692
1,22,39.58321,-9.26606,105.0309,36.767,87.24692
1,23,39.57266,-9.274079,103.45829,36.767,87.24692
1,24,39.57266,-9.290464,110.0299,36.767,87.24692
