route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.034,110.0299
1,1,39.58585,-9.308832,134.1046,37.034,110.0299
1,2,39.591125,-9.319525,175.7767,37.034,110.0299
1,3,39.60168,-9.322198,237.79222,37.034,110.0299
1,4,39.61487,-9.335565,356.3693,37.034,110.0299
1,5,39.6307,-9.338238,405.11307,37.034,110.0299
1,6,39.638615,-9.346257,454.5223,37.034,110.0299
1,7,39.635975,-9.362297,533.78265,37.034,110.0299
1,8,39.64125,-9.37299,551.7429,37.034,110.0299
1,9,39.63334,-9.38101,620.84235,37.034,110.0299
1,10,39.638615,-9.391703,645.0854,37.034,110.0299
1,11,39.6307,-9.399722,637.3521,37.034,110.0299
1,12,39.609592,-9.410416,699.5094,37.034,110.0299
1,13,39.60168,-9.423781,665.32513,37.034,110.0299
1,14,39.591125,-9.429129,655.16656,37.034,110.0299
1,15,39.580574,-9.421108,626.59595,37.034,110.0299
1,16,39.57266,-9.429129,623.05884,37.034,110.0299
1,17,39.562107,-9.423781,541.31256,37.034,110.0299
1,18,39.55155,-9.410416,362.61966,37.034,110.0299
1,19,39.548916,-9.397049,250.8127,37.034,110.0299
1,20,39.567383,-9.375663,210.75433,37.034,110.0299
1,21,39.57266,-9.335565,138.1156,37.034,110.0299
1,22,39.567383,-9.324871,124.482605,37.034,110.0299
1,23,39.5753,-9.295465,111.911865,37.034,110.0299
1,24,39.574078,-9.294229,110.0299,37.034,110.0299
