run_id,case_id,display_case,date,run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,gamma,formulation,descriptor_source,crossing_proxy_method,collected_STD,collected_boundary,crossing_count,regions_visited,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,difference_from_baseline,scope,run_dir,input_nc,strategy,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered
C01_representative__single_auv_12h__baseline_STD,C01_representative,C01 representative,2024-08-24,baseline_STD,12.0,11.0,38.053,1578.4713331999956,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,90.6500473022461,107.18716430664062,2.0,2.0,0.8888888888888888,0.1111111111111111,0.0,0.0,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C01_representative__single_auv_12h__baseli__51c49ddc1b,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C01_representative__single_auv_12h__baseli__51c49ddc1b.nc,,,,,,,,,,,,
C01_representative__single_auv_12h__prototype_boundary_alpha050,C01_representative,C01 representative,2024-08-24,prototype_boundary_alpha050,12.0,8.933333333333334,31.056,1602.924844299996,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,74.78024291992188,104.01908111572266,0.0,1.0,1.0,0.0,0.0,0.9855072463768116,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C01_representative__single_auv_12h__protot__9ce4d78139,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C01_representative__single_auv_12h__protot__9ce4d78139.nc,,,,,,,,,,,,
C01_representative__single_auv_12h__prototype_crossing_gamma025,C01_representative,C01 representative,2024-08-24,prototype_crossing_gamma025,12.0,8.95,31.081,1508.7610649999988,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,76.11698913574219,114.20892333984375,0.0,1.0,1.0,0.0,0.03007518796992481,0.9637681159420289,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C01_representative__single_auv_12h__protot__ddf5f8367c,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C01_representative__single_auv_12h__protot__ddf5f8367c.nc,,,,,,,,,,,,
C01_representative__multi_auv_12h__baseline_STD,C01_representative,,,,,,,1127.303506199998,SUCCESS,,,,,,,,,,,,,multi_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C01_representative__multi_auv_12h__baselin__17a8584673,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C01_representative__multi_auv_12h__baselin__17a8584673.nc,baseline_STD,187.14154052734375,219.0780487060547,0.044620811287477954,0.02356469580119966,0.06818550708867761,0.0,0.0,1.0,19.07207243052501,0.5340927535443388,308.0
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps,C01_representative,,,,,,,2946.0639395999897,SUCCESS,,,,,,,,,,,,,multi_AUV_PROXY,two 1-AUV proxy runs,,prototype_vehicle_specific_maps,145.27076721191406,144.86750030517578,0.028395061728395062,0.02442159383033419,0.05281665555872925,0.11009174311926606,24.0,0.0,4.020425609212,0.4713624562197316,218.0
C06_representative__single_auv_12h__baseline_STD,C06_representative,C06 representative,2023-12-22,baseline_STD,12.0,10.566666666666666,36.475,1693.510363399997,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,84.7479248046875,120.92462158203125,0.0,1.0,1.0,0.0,0.01875,0.0,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__single_auv_12h__baseli__dc14993011,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C06_representative__single_auv_12h__baseli__dc14993011.nc,,,,,,,,,,,,
C06_representative__single_auv_12h__prototype_boundary_alpha050,C06_representative,C06 representative,2023-12-22,prototype_boundary_alpha050,12.0,8.783333333333333,30.849,1154.1762285000004,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,57.38108444213867,91.24017333984375,0.0,1.0,1.0,0.0,0.24369747899159663,0.9351145038167938,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__single_auv_12h__protot__37236ca4d8,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C06_representative__single_auv_12h__protot__37236ca4d8.nc,,,,,,,,,,,,
C06_representative__single_auv_12h__prototype_crossing_gamma025,C06_representative,C06 representative,2023-12-22,prototype_crossing_gamma025,12.0,8.433333333333334,29.147,1017.4973318999982,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,60.25867462158203,95.6002197265625,0.0,1.0,1.0,0.0,0.17073170731707318,0.8725099601593626,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__single_auv_12h__protot__e91ca52791,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C06_representative__single_auv_12h__protot__e91ca52791.nc,,,,,,,,,,,,
C06_representative__multi_auv_12h__baseline_STD,C06_representative,,,,,,,1373.136565599998,SUCCESS,,,,,,,,,,,,,multi_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_runs\C06_representative__multi_auv_12h__baselin__0a48d873ac,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260607_192933\planner_inputs\C06_representative__multi_auv_12h__baselin__0a48d873ac.nc,baseline_STD,169.19347381591797,244.61536407470703,0.057958011842813566,0.0,0.057958011842813566,0.0,0.0,1.0,8.528279072098648,0.5289790059214068,323.0
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps,C06_representative,,,,,,,2985.070809399971,SUCCESS,,,,,,,,,,,,,multi_AUV_PROXY,two 1-AUV proxy runs,,prototype_vehicle_specific_maps,127.68012619018555,162.4287109375,0.038758298941324244,0.03414232825997532,0.07290062720129956,0.0033444816053511705,1.0,0.0,27.311148173302534,0.5347780727979742,299.0
