route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,39.725,109.90472
1,1,39.580574,-9.300812,115.66184,39.725,109.90472
1,2,39.59904,-9.284773,142.67677,39.725,109.90472
1,3,39.638615,-9.263387,297.06015,39.725,109.90472
1,4,39.659718,-9.255366,345.0337,39.725,109.90472
1,5,39.680824,-9.242001,276.58176,39.725,109.90472
1,6,39.68874,-9.25002,227.08194,39.725,109.90472
1,7,39.69929,-9.247347,182.60336,39.725,109.90472
1,8,39.704567,-9.258039,162.06793,39.725,109.90472
1,9,39.683464,-9.268733,227.80794,39.725,109.90472
1,10,39.67819,-9.258039,280.01062,39.725,109.90472
1,11,39.638615,-9.282099,332.6125,39.725,109.90472
1,12,39.617508,-9.295465,227.32838,39.725,109.90472
1,13,39.5964,-9.308832,172.3962,39.725,109.90472
1,14,39.564743,-9.327544,123.63197,39.725,109.90472
1,15,39.55419,-9.330218,114.64339,39.725,109.90472
1,16,39.559467,-9.308832,111.00005,39.725,109.90472
1,17,39.57002,-9.300812,111.81263,39.725,109.90472
1,18,39.571953,-9.294934,110.0299,39.725,109.90472
