route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.024,110.0299
1,1,39.580574,-9.316852,128.42369,37.024,110.0299
1,2,39.58585,-9.338238,178.58408,37.024,110.0299
1,3,39.58321,-9.354278,183.175,37.024,110.0299
1,4,39.5964,-9.356951,317.86502,37.024,110.0299
1,5,39.59904,-9.3703165,405.93365,37.024,110.0299
1,6,39.620148,-9.383683,610.4315,37.024,110.0299
1,7,39.64389,-9.397049,562.4273,37.024,110.0299
1,8,39.646526,-9.383683,533.7988,37.024,110.0299
1,9,39.65708,-9.38101,391.03397,37.024,110.0299
1,10,39.670273,-9.37299,245.6308,37.024,110.0299
1,11,39.680824,-9.378337,211.44998,37.024,110.0299
1,12,39.68874,-9.3703165,171.92664,37.024,110.0299
1,13,39.6861,-9.354278,168.17181,37.024,110.0299
1,14,39.67291,-9.346257,192.0499,37.024,110.0299
1,15,39.662357,-9.3516035,250.47917,37.024,110.0299
1,16,39.65444,-9.338238,287.0014,37.024,110.0299
1,17,39.64389,-9.343584,395.51752,37.024,110.0299
1,18,39.63334,-9.346257,450.11676,37.024,110.0299
1,19,39.62806,-9.335565,386.06754,37.024,110.0299
1,20,39.61487,-9.335565,356.3693,37.024,110.0299
1,21,39.591125,-9.322198,181.4083,37.024,110.0299
1,22,39.57379,-9.2946,110.0299,37.024,110.0299
