route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,35.09,41.385548
1,1,39.577934,-9.23398,88.10768,35.09,41.385548
1,2,39.57266,-9.199228,65.69832,35.09,41.385548
1,3,39.59904,-9.140416,83.2259,35.09,41.385548
1,4,39.577934,-9.140416,42.614483,35.09,41.385548
1,5,39.58321,-9.151109,53.251316,35.09,41.385548
1,6,39.567383,-9.183188,53.03211,35.09,41.385548
1,7,39.55683,-9.183188,44.82832,35.09,41.385548
1,8,39.55155,-9.193882,47.862865,35.09,41.385548
1,9,39.541,-9.193882,41.385548,35.09,41.385548
1,10,39.55155,-9.212595,61.197163,35.09,41.385548
1,11,39.562107,-9.209921,65.71536,35.09,41.385548
1,12,39.567383,-9.231307,81.52102,35.09,41.385548
1,13,39.562107,-9.263387,94.92799,35.09,41.385548
1,14,39.567383,-9.274079,101.45746,35.09,41.385548
1,15,39.572044,-9.290606,110.0299,35.09,41.385548
