route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.602,110.0299
1,1,39.612232,-9.303485,212.36226,37.602,110.0299
1,2,39.625423,-9.300812,280.1656,37.602,110.0299
1,3,39.64125,-9.316852,351.55093,37.602,110.0299
1,4,39.649166,-9.308832,302.32928,37.602,110.0299
1,5,39.65444,-9.324871,271.77182,37.602,110.0299
1,6,39.65708,-9.340911,272.66,37.602,110.0299
1,7,39.662357,-9.3516035,250.47917,37.602,110.0299
1,8,39.67291,-9.346257,192.0499,37.602,110.0299
1,9,39.6861,-9.354278,168.17181,37.602,110.0299
1,10,39.68874,-9.3703165,171.92664,37.602,110.0299
1,11,39.680824,-9.378337,211.44998,37.602,110.0299
1,12,39.670273,-9.378337,256.7603,37.602,110.0299
1,13,39.662357,-9.386356,339.73444,37.602,110.0299
1,14,39.646526,-9.383683,533.7988,37.602,110.0299
1,15,39.64389,-9.397049,562.4273,37.602,110.0299
1,16,39.62806,-9.391703,644.6958,37.602,110.0299
1,17,39.620148,-9.383683,610.4315,37.602,110.0299
1,18,39.609592,-9.378337,558.38556,37.602,110.0299
1,19,39.5964,-9.356951,317.86502,37.602,110.0299
1,20,39.58321,-9.354278,183.175,37.602,110.0299
1,21,39.57266,-9.324871,129.08961,37.602,110.0299
1,22,39.5753,-9.306158,116.21752,37.602,110.0299
1,23,39.5731,-9.295047,110.0299,37.602,110.0299
