route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,74.737,109.888016
1,1,39.564743,-9.300812,109.888016,74.737,109.888016
1,2,39.562107,-9.314178,114.77917,74.737,109.888016
1,3,39.55419,-9.322198,112.323616,74.737,109.888016
1,4,39.55155,-9.34893,122.22616,74.737,109.888016
1,5,39.53836,-9.356951,116.74508,74.737,109.888016
1,6,39.533085,-9.3703165,125.39552,74.737,109.888016
1,7,39.53836,-9.38101,149.45534,74.737,109.888016
1,8,39.533085,-9.391703,156.67728,74.737,109.888016
1,9,39.541,-9.399722,225.5264,74.737,109.888016
1,10,39.53836,-9.413089,269.53857,74.737,109.888016
1,11,39.55155,-9.4077425,342.83182,74.737,109.888016
1,12,39.564743,-9.410416,450.30417,74.737,109.888016
1,13,39.57266,-9.402396,419.525,74.737,109.888016
1,14,39.58321,-9.402396,477.93973,74.737,109.888016
1,15,39.593765,-9.405069,575.24713,74.737,109.888016
1,16,39.60168,-9.415762,691.6902,74.737,109.888016
1,17,39.612232,-9.410416,694.9873,74.737,109.888016
1,18,39.609592,-9.397049,645.167,74.737,109.888016
1,19,39.620148,-9.383683,610.4315,74.737,109.888016
1,20,39.62806,-9.391703,644.6958,74.737,109.888016
1,21,39.63334,-9.405069,624.4207,74.737,109.888016
1,22,39.64389,-9.397049,562.4273,74.737,109.888016
1,23,39.646526,-9.383683,533.7988,74.737,109.888016
1,24,39.662357,-9.367643,288.76422,74.737,109.888016
1,25,39.65444,-9.359624,350.9829,74.737,109.888016
1,26,39.67291,-9.346257,192.0499,74.737,109.888016
1,27,39.6861,-9.354278,168.17181,74.737,109.888016
1,28,39.691376,-9.383683,168.77112,74.737,109.888016
1,29,39.70193,-9.378337,151.51025,74.737,109.888016
1,30,39.69929,-9.36497,149.35599,74.737,109.888016
1,31,39.704567,-9.354278,143.56584,74.737,109.888016
1,32,39.71776,-9.3516035,137.28601,74.737,109.888016
1,33,39.709846,-9.343584,138.5535,74.737,109.888016
1,34,39.71776,-9.335565,134.482,74.737,109.888016
1,35,39.720398,-9.319525,131.77333,74.737,109.888016
1,36,39.709846,-9.311505,134.28679,74.737,109.888016
1,37,39.70193,-9.319525,137.16707,74.737,109.888016
1,38,39.696655,-9.332891,138.95198,74.737,109.888016
1,39,39.680824,-9.330218,161.71957,74.737,109.888016
1,40,39.67555,-9.316852,183.14075,74.737,109.888016
1,41,39.68874,-9.316852,151.25851,74.737,109.888016
1,42,39.6861,-9.303485,163.92865,74.737,109.888016
1,43,39.67819,-9.287446,220.52269,74.737,109.888016
1,44,39.659718,-9.303485,254.75455,74.737,109.888016
1,45,39.649166,-9.308832,302.32928,74.737,109.888016
1,46,39.64125,-9.300812,336.297,74.737,109.888016
1,47,39.646526,-9.290119,318.2537,74.737,109.888016
1,48,39.635975,-9.274079,309.20023,74.737,109.888016
1,49,39.580574,-9.295465,113.84578,74.737,109.888016
1,50,39.5744,-9.293381,110.0299,74.737,109.888016
