route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,76.924,108.001396
1,1,39.57002,-9.290119,108.14328,76.924,108.001396
1,2,39.562107,-9.298139,108.001396,76.924,108.001396
1,3,39.593765,-9.308832,162.8233,76.924,108.001396
1,4,39.591125,-9.322198,181.4083,76.924,108.001396
1,5,39.59904,-9.332891,257.24667,76.924,108.001396
1,6,39.622784,-9.324871,334.93542,76.924,108.001396
1,7,39.62806,-9.335565,386.06754,76.924,108.001396
1,8,39.625423,-9.34893,446.2915,76.924,108.001396
1,9,39.61487,-9.356951,464.26038,76.924,108.001396
1,10,39.604317,-9.3516035,373.24387,76.924,108.001396
1,11,39.591125,-9.3516035,251.93217,76.924,108.001396
1,12,39.580574,-9.346257,161.71019,76.924,108.001396
1,13,39.57266,-9.354278,158.66121,76.924,108.001396
1,14,39.562107,-9.359624,144.30144,76.924,108.001396
1,15,39.57002,-9.367643,188.12738,76.924,108.001396
1,16,39.58321,-9.367643,226.7635,76.924,108.001396
1,17,39.593765,-9.36497,324.26245,76.924,108.001396
1,18,39.59904,-9.378337,445.87598,76.924,108.001396
1,19,39.606956,-9.386356,571.2911,76.924,108.001396
1,20,39.620148,-9.383683,610.4315,76.924,108.001396
1,21,39.62806,-9.391703,644.6958,76.924,108.001396
1,22,39.63334,-9.402396,629.3696,76.924,108.001396
1,23,39.64389,-9.397049,562.4273,76.924,108.001396
1,24,39.646526,-9.383683,533.7988,76.924,108.001396
1,25,39.65444,-9.375663,405.64377,76.924,108.001396
1,26,39.680824,-9.378337,211.44998,76.924,108.001396
1,27,39.691376,-9.383683,168.77112,76.924,108.001396
1,28,39.6861,-9.354278,168.17181,76.924,108.001396
1,29,39.67291,-9.34893,195.74901,76.924,108.001396
1,30,39.662357,-9.3516035,250.47917,76.924,108.001396
1,31,39.651806,-9.346257,334.91577,76.924,108.001396
1,32,39.646526,-9.335565,341.27417,76.924,108.001396
1,33,39.65444,-9.324871,271.77182,76.924,108.001396
1,34,39.664997,-9.316852,211.35274,76.924,108.001396
1,35,39.68874,-9.316852,151.25851,76.924,108.001396
1,36,39.70193,-9.319525,137.16707,76.924,108.001396
1,37,39.715122,-9.300812,132.22179,76.924,108.001396
1,38,39.71776,-9.284773,131.11652,76.924,108.001396
1,39,39.712482,-9.274079,138.49677,76.924,108.001396
1,40,39.704567,-9.284773,143.17839,76.924,108.001396
1,41,39.694016,-9.287446,151.05046,76.924,108.001396
1,42,39.6861,-9.295465,174.43211,76.924,108.001396
1,43,39.67819,-9.287446,220.52269,76.924,108.001396
1,44,39.667633,-9.295465,244.90434,76.924,108.001396
1,45,39.65708,-9.290119,290.82355,76.924,108.001396
1,46,39.649166,-9.298139,305.7396,76.924,108.001396
1,47,39.64125,-9.274079,321.29004,76.924,108.001396
1,48,39.63334,-9.282099,304.23013,76.924,108.001396
1,49,39.622784,-9.290119,249.71889,76.924,108.001396
1,50,39.620148,-9.276752,212.71008,76.924,108.001396
1,51,39.609592,-9.279426,152.38982,76.924,108.001396
1,52,39.59904,-9.279426,135.56474,76.924,108.001396
1,53,39.574333,-9.291943,110.0299,76.924,108.001396
