route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,38.884,100.13252
1,1,39.548916,-9.308832,105.07839,38.884,100.13252
1,2,39.53836,-9.316852,101.03852,38.884,100.13252
1,3,39.55155,-9.324871,111.54015,38.884,100.13252
1,4,39.567383,-9.311505,116.3244,38.884,100.13252
1,5,39.580574,-9.308832,120.84726,38.884,100.13252
1,6,39.625423,-9.274079,242.01924,38.884,100.13252
1,7,39.64125,-9.271406,316.35654,38.884,100.13252
1,8,39.651806,-9.258039,319.88486,38.884,100.13252
1,9,39.65444,-9.242001,319.40402,38.884,100.13252
1,10,39.67555,-9.228634,298.60013,38.884,100.13252
1,11,39.6861,-9.220614,235.0636,38.884,100.13252
1,12,39.667633,-9.220614,331.08237,38.884,100.13252
1,13,39.646526,-9.23398,267.51874,38.884,100.13252
1,14,39.64389,-9.247347,282.76266,38.884,100.13252
1,15,39.609592,-9.268733,138.35881,38.884,100.13252
1,16,39.57427,-9.291744,110.0299,38.884,100.13252
