mission_duration_requested_h,descriptor,alpha,mean_solver_runtime,max_solver_runtime,runs
12.0,boundary_distance_score_r1_cells,0.0,398.10731389996363,398.10731389996363,1
12.0,boundary_distance_score_r1_cells,0.25,358.02024990000064,358.02024990000064,1
12.0,boundary_distance_score_r1_cells,0.5,309.57600930001354,309.57600930001354,1
12.0,boundary_distance_score_r1_cells,0.75,159.5696489000111,159.5696489000111,1
12.0,boundary_distance_score_r1_cells,1.0,91.48698780004634,91.48698780004634,1
12.0,boundary_distance_score_r3_cells,0.0,398.10731389996363,398.10731389996363,1
12.0,boundary_distance_score_r3_cells,0.25,351.72768389998237,351.72768389998237,1
12.0,boundary_distance_score_r3_cells,0.5,316.76249400002416,316.76249400002416,1
12.0,boundary_distance_score_r3_cells,0.75,179.4315534000052,179.4315534000052,1
12.0,boundary_distance_score_r3_cells,1.0,89.56625090003945,89.56625090003945,1
12.0,boundary_distance_score_r5_cells,0.0,398.10731389996363,398.10731389996363,1
12.0,boundary_distance_score_r5_cells,0.25,370.8505821999861,370.8505821999861,1
12.0,boundary_distance_score_r5_cells,0.5,311.4478547999752,311.4478547999752,1
12.0,boundary_distance_score_r5_cells,0.75,189.1571465000161,189.1571465000161,1
12.0,boundary_distance_score_r5_cells,1.0,92.5939870000002,92.5939870000002,1
12.0,boundary_score,0.0,398.10731389996363,398.10731389996363,1
12.0,boundary_score,0.25,337.1757312999689,337.1757312999689,1
12.0,boundary_score,0.5,239.17426050000358,239.17426050000358,1
12.0,boundary_score,0.75,203.84045339998556,203.84045339998556,1
12.0,boundary_score,1.0,113.65234190004412,113.65234190004412,1
12.0,interest_map,0.0,398.10731389996363,398.10731389996363,1
12.0,interest_map,0.25,366.8009506999515,366.8009506999515,1
12.0,interest_map,0.5,289.4963438999839,289.4963438999839,1
12.0,interest_map,0.75,279.10742740001297,279.10742740001297,1
12.0,interest_map,1.0,98.40279529994586,98.40279529994586,1
