command,returncode,runtime_s,path,temperr_shape,finite_cells,temperr_min,temperr_max,landt_valid_cells,run_id,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__6b733a719e.nc,0,351.72768389998237,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__6b733a719e.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha025,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__6b733a719e.nc,SUCCESS,351.72768389998237,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__6b733a719e
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__c388adce9e.nc,0,358.02024990000064,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__c388adce9e.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha025,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__c388adce9e.nc,SUCCESS,358.02024990000064,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__c388adce9e
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__51c49ddc1b.nc,0,398.10731389996363,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__51c49ddc1b.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__baseline_STD,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__51c49ddc1b.nc,SUCCESS,398.10731389996363,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__51c49ddc1b
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__3759f1d796.nc,0,337.1757312999689,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__3759f1d796.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_score_alpha025,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__3759f1d796.nc,SUCCESS,337.1757312999689,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__3759f1d796
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__57e4bae93c.nc,0,370.8505821999861,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__57e4bae93c.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha025,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__57e4bae93c.nc,SUCCESS,370.8505821999861,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__57e4bae93c
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__8dd3bf31fe.nc,0,366.8009506999515,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__8dd3bf31fe.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__interest_map_alpha025,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__8dd3bf31fe.nc,SUCCESS,366.8009506999515,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__8dd3bf31fe
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__397c795c95.nc,0,309.57600930001354,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__397c795c95.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha050,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__397c795c95.nc,SUCCESS,309.57600930001354,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__397c795c95
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__65ecf17c6a.nc,0,316.76249400002416,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__65ecf17c6a.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha050,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__65ecf17c6a.nc,SUCCESS,316.76249400002416,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__65ecf17c6a
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__a090b6388e.nc,0,311.4478547999752,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__a090b6388e.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha050,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__a090b6388e.nc,SUCCESS,311.4478547999752,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__a090b6388e
C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__48907c60e1.nc,0,159.5696489000111,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__48907c60e1.nc,"[180, 240]",8004,0.0,1.0,8004,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha075,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_inputs\C01_representative__sing__48907c60e1.nc,SUCCESS,159.5696489000111,,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__48907c60e1
