descriptor,alpha,mean_STD,mean_descriptor,mean_difference,mean_regime_balance,mean_runtime,mean_score
boundary_distance_score_r1_cells,0.0,90.6500473022461,17.033775329589844,0.0,0.0,1524.0095923999907,0.3878850266061826
boundary_distance_score_r1_cells,0.25,,,,0.0,1800.0,5.552470849528041e-05
boundary_distance_score_r1_cells,0.5,,,,0.0,1800.0,5.552470849528041e-05
boundary_distance_score_r1_cells,0.75,84.84690856933594,65.79833221435547,0.9694915254237289,0.0,680.5242863000021,0.6192541014562589
boundary_distance_score_r1_cells,1.0,56.245338439941406,90.07943725585938,0.9798387096774194,0.0,129.99697700000252,0.5649025384078348
boundary_distance_score_r3_cells,0.0,90.6500473022461,42.845069885253906,0.0,0.0,1524.0095923999907,0.4100446717366313
boundary_distance_score_r3_cells,0.25,86.64779663085938,113.56553649902344,0.9094202898550725,0.0,1271.8441475,0.6300200605518955
boundary_distance_score_r3_cells,0.5,96.74420166015625,126.11212158203125,0.9640522875816994,0.0,949.7944231999863,0.6947877575921176
boundary_distance_score_r3_cells,0.75,87.91519927978516,135.43460083007812,0.9768211920529801,0.0,564.1563083000074,0.6757366664850224
boundary_distance_score_r3_cells,1.0,94.48797607421875,142.86666870117188,0.9674267100977199,0.0,214.71580499998527,0.7103958294831384
boundary_distance_score_r5_cells,0.0,90.6500473022461,55.65923309326172,0.0,0.0,1524.0095923999907,0.4244104743594487
boundary_distance_score_r5_cells,0.25,85.93846130371094,118.62519073486328,0.9685314685314685,0.0,1370.4995596999943,0.6356106982533517
boundary_distance_score_r5_cells,0.5,91.19650268554688,130.73773193359375,0.9731543624161074,0.0,1128.910235599993,0.6727999386952389
boundary_distance_score_r5_cells,0.75,92.39990234375,141.50027465820312,0.9666666666666667,0.0,625.5467343000055,0.6909199103033892
boundary_distance_score_r5_cells,1.0,93.690673828125,149.73248291015625,0.9706840390879479,0.0,287.7381919999898,0.7076888050026335
boundary_score,0.0,90.6500473022461,107.18716430664062,0.0,0.0,1524.0095923999907,0.5074178347897883
boundary_score,0.25,90.08222961425781,129.47348022460938,0.9591836734693877,0.0,1501.3017230000114,0.6818206563615397
boundary_score,0.5,89.0613784790039,130.7659912109375,0.98,0.0,924.1077984000149,0.6829405524759219
boundary_score,0.75,76.82015991210938,125.09266662597656,0.9614035087719298,0.0,1173.4373592000047,0.6245362428401531
boundary_score,1.0,84.33016967773438,136.2384796142578,0.9837662337662337,0.0,1023.5328992000141,0.6732614813435919
interest_map,0.0,90.6500473022461,52.42616271972656,0.0,0.0,1524.0095923999907,0.5116334461991936
interest_map,0.25,91.73143005371094,60.51144027709961,0.9039145907473309,0.0,1652.19227639999,0.6763081222506594
interest_map,0.5,94.73582458496094,59.35566329956055,0.9081272084805654,0.0,1344.8490470999968,0.6849919073768073
interest_map,0.75,82.72241973876953,59.73246765136719,0.9798657718120806,0.0,731.5585024000029,0.6505923612126592
interest_map,1.0,59.08704376220703,64.89676666259766,0.976897689768977,0.0,370.32491490000393,0.5749391444487387
