route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,36.59,110.0299
1,1,39.57266,-9.308832,117.15456,36.59,110.0299
1,2,39.59904,-9.362297,365.99136,36.59,110.0299
1,3,39.593765,-9.37299,363.47772,36.59,110.0299
1,4,39.604317,-9.375663,488.5743,36.59,110.0299
1,5,39.606956,-9.391703,597.2981,36.59,110.0299
1,6,39.6307,-9.402396,634.15936,36.59,110.0299
1,7,39.622784,-9.410416,654.7551,36.59,110.0299
1,8,39.612232,-9.405069,676.7874,36.59,110.0299
1,9,39.60168,-9.4077425,642.8049,36.59,110.0299
1,10,39.58849,-9.397049,465.05368,36.59,110.0299
1,11,39.58321,-9.4077425,535.85406,36.59,110.0299
1,12,39.57266,-9.402396,419.525,36.59,110.0299
1,13,39.564743,-9.410416,450.30417,36.59,110.0299
1,14,39.55419,-9.410416,383.57578,36.59,110.0299
1,15,39.548916,-9.397049,250.8127,36.59,110.0299
1,16,39.567383,-9.383683,239.86378,36.59,110.0299
1,17,39.580574,-9.386356,299.45068,36.59,110.0299
1,18,39.580574,-9.37299,238.45549,36.59,110.0299
1,19,39.5753,-9.340911,147.49477,36.59,110.0299
1,20,39.577934,-9.327544,136.04332,36.59,110.0299
1,21,39.573006,-9.295076,110.0299,36.59,110.0299
