route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,36.016,41.71545
1,1,39.580574,-9.23398,89.39218,36.016,41.71545
1,2,39.57266,-9.223288,79.93406,36.016,41.71545
1,3,39.55683,-9.185862,46.441933,36.016,41.71545
1,4,39.567383,-9.161802,41.71545,36.016,41.71545
1,5,39.580574,-9.164475,54.974762,36.016,41.71545
1,6,39.58585,-9.153783,59.715454,36.016,41.71545
1,7,39.593765,-9.161802,78.65666,36.016,41.71545
1,8,39.604317,-9.159129,99.3937,36.016,41.71545
1,9,39.617508,-9.164475,123.57283,36.016,41.71545
1,10,39.625423,-9.172496,138.54982,36.016,41.71545
1,11,39.620148,-9.183188,128.77869,36.016,41.71545
1,12,39.609592,-9.180515,106.0157,36.016,41.71545
1,13,39.60168,-9.191209,92.04216,36.016,41.71545
1,14,39.58849,-9.191209,75.72135,36.016,41.71545
1,15,39.58321,-9.201901,74.47029,36.016,41.71545
1,16,39.562107,-9.215268,69.27439,36.016,41.71545
1,17,39.55683,-9.225961,73.20049,36.016,41.71545
1,18,39.55683,-9.25002,86.978645,36.016,41.71545
1,19,39.562107,-9.263387,94.92799,36.016,41.71545
1,20,39.564743,-9.279426,102.51209,36.016,41.71545
1,21,39.571564,-9.290943,110.0299,36.016,41.71545
