route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,38.981,110.0299
1,1,39.59904,-9.303485,167.56883,38.981,110.0299
1,2,39.64389,-9.327544,345.13214,38.981,110.0299
1,3,39.65708,-9.327544,252.64375,38.981,110.0299
1,4,39.667633,-9.332891,182.21446,38.981,110.0299
1,5,39.67555,-9.322198,178.24925,38.981,110.0299
1,6,39.68874,-9.316852,151.25851,38.981,110.0299
1,7,39.68874,-9.303485,155.65611,38.981,110.0299
1,8,39.709846,-9.300812,134.70718,38.981,110.0299
1,9,39.712482,-9.314178,133.63918,38.981,110.0299
1,10,39.704567,-9.322198,136.51944,38.981,110.0299
1,11,39.70193,-9.335565,138.59398,38.981,110.0299
1,12,39.70193,-9.34893,142.97566,38.981,110.0299
1,13,39.691376,-9.346257,150.08002,38.981,110.0299
1,14,39.67291,-9.359624,210.54544,38.981,110.0299
1,15,39.662357,-9.343584,233.60622,38.981,110.0299
1,16,39.649166,-9.346257,358.83707,38.981,110.0299
1,17,39.638615,-9.343584,441.77786,38.981,110.0299
1,18,39.63334,-9.332891,384.90436,38.981,110.0299
1,19,39.57426,-9.293852,110.0299,38.981,110.0299
