route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.156,110.0299
1,1,39.580574,-9.300812,115.66184,37.156,110.0299
1,2,39.58849,-9.316852,157.85838,37.156,110.0299
1,3,39.591125,-9.330218,198.30302,37.156,110.0299
1,4,39.59904,-9.340911,286.16345,37.156,110.0299
1,5,39.609592,-9.340911,368.25522,37.156,110.0299
1,6,39.63334,-9.346257,450.11676,37.156,110.0299
1,7,39.64389,-9.356951,451.3284,37.156,110.0299
1,8,39.659718,-9.375663,342.287,37.156,110.0299
1,9,39.659718,-9.3890295,377.32495,37.156,110.0299
1,10,39.649166,-9.394376,502.19058,37.156,110.0299
1,11,39.62806,-9.397049,641.82245,37.156,110.0299
1,12,39.612232,-9.413089,704.0873,37.156,110.0299
1,13,39.60168,-9.418435,683.6396,37.156,110.0299
1,14,39.591125,-9.421108,654.0398,37.156,110.0299
1,15,39.58321,-9.410416,564.8113,37.156,110.0299
1,16,39.57266,-9.410416,499.7587,37.156,110.0299
1,17,39.58849,-9.375663,320.53705,37.156,110.0299
1,18,39.580574,-9.367643,214.0574,37.156,110.0299
1,19,39.57002,-9.359624,159.47389,37.156,110.0299
1,20,39.5753,-9.34893,156.96367,37.156,110.0299
1,21,39.564743,-9.327544,123.63197,37.156,110.0299
1,22,39.572147,-9.295025,110.0299,37.156,110.0299
