run_id,strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,C01_representative,1,12.0,REUSED,307.0359218120575,87.185546875,0.0,35.0,97.713134765625,0.0,0.2397260218858719,0.15753424167633057,0,1,37.641,10.883333333333333,146
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,C01_representative,2,12.0,REUSED,307.0359218120575,99.30781555175781,0.0,0.0,133.67852783203125,0.0,0.0,0.09756097197532654,0,0,37.287,10.8,164
C01_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,C01_representative,1,12.0,REUSED,301.4890103340149,95.42509460449219,0.0,7.0,105.55885314941406,0.0,0.04516129195690155,0.0,0,1,38.397,11.016666666666667,155
C01_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,C01_representative,2,12.0,REUSED,285.5714485645294,90.57058715820312,0.0,57.0,85.38114929199219,0.0,0.38255032896995544,0.0,0,1,37.557,10.866666666666667,149
C01_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,C01_representative,1,12.0,REUSED,280.6241319179535,91.56916046142578,0.0,56.0,85.73341369628906,0.0,0.3684210479259491,0.01315789483487606,0,1,37.098,10.716666666666667,152
C01_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,C01_representative,2,12.0,REUSED,249.80981016159058,90.60186767578125,0.0,72.0,79.12980651855469,0.0,0.47999998927116394,0.0,0,1,36.852,10.7,150
C01_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,C01_representative,1,12.0,REUSED,273.3740084171295,75.66423797607422,52.0,0.0,124.86854553222656,0.3466666638851166,0.0,0.006666666828095913,0,1,36.829,10.616666666666667,150
C01_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,C01_representative,2,12.0,REUSED,249.22498488426208,92.31534576416016,0.0,87.0,77.87401580810547,0.0,0.5612903237342834,0.0,0,1,37.275,10.766666666666667,155
C01_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,C01_representative,1,12.0,REUSED,284.67998123168945,62.688812255859375,99.0,0.0,133.57423400878906,0.6265822649002075,0.0,0.0,0,1,36.557,10.45,158
C01_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,C01_representative,2,12.0,REUSED,260.28628420829773,89.02203369140625,0.0,91.0,77.07887268066406,0.0,0.5986841917037964,0.0,0,1,37.809,10.866666666666667,152
